Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
        Total area actually reporting,95.6%,442,3,113,42,284,"4,509",935,"3,273",301,,,,,,,
        Estimated total,100.0%,459,3,120,42,294,"4,687",964,"3,412",311,,,,,,,
"        Rate per 100,000 inhabitants",,234.8,1.5,61.4,21.5,150.4,"2,397.6",493.1,"1,745.4",159.1,,,,,,,
"South Bend-Mishawaka, IN-MI M.S.A.","320,141",,,,,,,,,,,,,,,,
"    (Includes St. Joseph County, IN and Cass County, MI.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            South Bend, IN","107,191",768,16,78,324,350,"6,853","1,716","4,596",541,,,,,,,
"            Mishawaka, IN","48,551",314,2,12,57,243,"3,986",507,"3,307",172,,,,,,,
        Total area actually reporting,97.3%,"1,340",20,121,435,764,"14,611","3,138","10,529",944,,,,,,,
        Estimated total,100.0%,"1,363",20,124,440,779,"14,880","3,183","10,721",976,,,,,,,
"        Rate per 100,000 inhabitants",,425.7,6.2,38.7,137.4,243.3,"4,648.0",994.2,"3,348.8",304.9,,,,,,,
"Spartanburg, SC M.S.A.","261,846", ,,,,, ,,,,,,,,,,
    (Includes Spartanburg County.),,,,,,,,,,,,,,,,,
        City of Spartanburg,"39,448",821,6,31,185,599,"3,777",754,"2,679",344,,,,,,,
        Total area actually reporting,100.0%,"1,963",21,115,385,"1,442","11,271","2,679","7,583","1,009",,,,,,,
"        Rate per 100,000 inhabitants",,749.7,8.0,43.9,147.0,550.7,"4,304.4","1,023.1","2,896.0",385.3,,,,,,,
"Spokane, WA M.S.A.","431,905", ,,,,, ,,,,,,,,,,
    (Includes Spokane County.),,,,,,,,,,,,,,,,,
        City of Spokane,"198,325","1,161",13,84,354,710,"15,906","3,053","11,260","1,593",,,,,,,
        Total area actually reporting,98.9%,"1,638",16,141,458,"1,023","23,718","4,668","16,805","2,245",,,,,,,
        Estimated total,100.0%,"1,651",16,143,462,"1,030","23,942","4,705","16,960","2,277",,,,,,,
"        Rate per 100,000 inhabitants",,382.3,3.7,33.1,107.0,238.5,"5,543.3","1,089.4","3,926.8",527.2,,,,,,,
"Springfield, MA M.S.A.","677,488", ,,,,, ,,,,,,,,,,
"    (Includes Franklin, Hampden, and Hampshire Counties.)",,,,,,,,,,,,,,,,,
        City of Springfield,"152,048","2,914",15,115,847,"1,937","11,628","2,647","6,414","2,567",,,,,,,
        Total area actually reporting,94.4%,"4,972",24,316,"1,179","3,453","24,948","5,896","15,037","4,015",,,,,,,
        Estimated total,100.0%,"5,063",23,321,"1,194","3,525","25,512","6,024","15,400","4,088",,,,,,,
"        Rate per 100,000 inhabitants",,747.3,3.4,47.4,176.2,520.3,"3,765.7",889.2,"2,273.1",603.4,,,,,,,
"Springfield, MO M.S.A.","380,857", ,,,,, ,,,,,,,,,,
"    (Includes Christian, Dallas, Greene, Polk, and Webster Counties.)",,,,,,,,,,,,,,,,,
        City of Springfield,"151,859","1,038",6,73,171,788,"12,351","1,833","9,754",764,,,,,,,
        Total area actually reporting,100.0%,"1,422",10,97,188,"1,127","17,333","2,977","13,262","1,094",,,,,,,
"        Rate per 100,000 inhabitants",,373.4,2.6,25.5,49.4,295.9,"4,551.1",781.7,"3,482.1",287.2,,,,,,,
"Springfield, OH M.S.A.","143,598", ,,,,, ,,,,,,,,,,
    (Includes Clark County.),,,,,,,,,,,,,,,,,
        City of Springfield,"64,214",558,5,74,285,194,"6,253","1,573","4,022",658,,,,,,,
        Total area actually reporting,99.8%,643,8,89,318,228,"8,687","2,189","5,688",810,,,,,,,
        Estimated total,100.0%,643,8,89,318,228,"8,696","2,190","5,695",811,,,,,,,
"        Rate per 100,000 inhabitants",,447.8,5.6,62.0,221.5,158.8,"6,055.8","1,525.1","3,965.9",564.8,,,,,,,
"State College, PA M.S.A.","138,865", ,,,,, ,,,,,,,,,,
    (Includes Centre County.),,,,,,,,,,,,,,,,,
        City of State College,"51,741",48,0,17,8,23,"1,029",108,902,19,,,,,,,
        Total area actually reporting,100.0%,215,1,37,18,159,"2,853",362,"2,421",70,,,,,,,
"        Rate per 100,000 inhabitants",,154.8,0.7,26.6,13.0,114.5,"2,054.5",260.7,"1,743.4",50.4,,,,,,,
"St. Joseph, MO-KS M.S.A.","122,494", ,,,,, ,,,,,,,,,,
"    (Includes Doniphan County, KS and Andrew, Buchanan, and De Kalb Counties, MO.)",,,,,,,,,,,,,,,,,
"        City of St. Joseph, MO","73,559",167,1,16,68,82,"4,907",924,"3,729",254,,,,,,,
        Total area actually reporting,100.0%,248,1,27,72,148,"5,863","1,201","4,342",320,,,,,,,
"        Rate per 100,000 inhabitants",,202.5,0.8,22.0,58.8,120.8,"4,786.4",980.5,"3,544.7",261.2,,,,,,,
"St. Louis, MO-IL M.S.A.","2,744,792",,,,,,,,,,,,,,,,
"    (Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and  Franklin, Jefferson, Lincoln, St. Charles, St. Louis, Warren, and Washington Counties and St. Louis City, MO.)  ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            St. Louis, MO","340,256","6,325",73,75,"2,303","3,874","40,310","5,889","23,747","10,674",,,,,,,
"            St. Charles, MO","61,097",193,0,15,35,143,"2,016",238,"1,577",201,,,,,,,
        Total area actually reporting,75.2%,"10,958",113,343,"3,200","7,302","92,049","13,278","62,351","16,420",,,,,,,
        Estimated total,100.0%,"13,058",152,343,"3,842","8,721","107,088","16,093","73,525","17,470",,,,,,,
"        Rate per 100,000 inhabitants",,475.7,5.5,12.5,140.0,317.7,"3,901.5",586.3,"2,678.7",636.5,,,,,,,
"Stockton, CA M.S.A.","620,747", ,,,,, ,,,,,,,,,,
    (Includes San Joaquin County.),,,,,,,,,,,,,,,,,
        City of Stockton,"265,593","3,625",37,155,"1,208","2,225","18,779","3,125","11,791","3,863",,,,,,,
        Total area actually reporting,100.0%,"5,381",58,211,"1,546","3,566","35,400","6,441","22,140","6,819",,,,,,,
"        Rate per 100,000 inhabitants",,866.9,9.3,34.0,249.1,574.5,"5,702.8","1,037.6","3,566.7","1,098.5",,,,,,,
"Sumter, SC M.S.A.","106,222", ,,,,, ,,,,,,,,,,
    (Includes Sumter County.),,,,,,,,,,,,,,,,,
        City of Sumter,"39,765",722,5,26,168,523,"3,014",793,"1,931",290,,,,,,,
        Total area actually reporting,99.0%,"1,247",12,46,230,959,"5,679","1,812","3,257",610,,,,,,,
        Estimated total,100.0%,"1,253",12,46,231,964,"5,729","1,820","3,296",613,,,,,,,
"        Rate per 100,000 inhabitants",,"1,179.6",11.3,43.3,217.5,907.5,"5,393.4","1,713.4","3,102.9",577.1,,,,,,,
"Syracuse, NY M.S.A.","654,609", ,,,,, ,,,,,,,,,,
"    (Includes Madison, Onondaga, and Oswego Counties.)",,,,,,,,,,,,,,,,,
        City of Syracuse,"145,411","1,383",17,44,477,845,"7,773","1,975","4,612","1,186",,,,,,,
        Total area actually reporting,98.4%,"1,992",25,108,622,"1,237","17,843","3,940","12,449","1,454",,,,,,,
        Estimated total,100.0%,"2,012",25,109,629,"1,249","18,068","3,973","12,626","1,469",,,,,,,
"        Rate per 100,000 inhabitants",,307.4,3.8,16.7,96.1,190.8,"2,760.1",606.9,"1,928.8",224.4,,,,,,,
"Tallahassee, FL M.S.A.","333,871", ,,,,, ,,,,,,,,,,
"    (Includes Gadsden, Jefferson, Leon, and Wakulla Counties.)",,,,,,,,,,,,,,,,,
        City of Tallahassee,"158,011","1,412",4,155,342,911,"9,338","2,223","6,413",702,,,,,,,
        Total area actually reporting,99.4%,"2,391",12,237,459,"1,683","14,604","3,811","9,727","1,066",,,,,,,
        Estimated total,100.0%,"2,402",12,238,462,"1,690","14,691","3,829","9,788","1,074",,,,,,,
"        Rate per 100,000 inhabitants",,719.4,3.6,71.3,138.4,506.2,"4,400.2","1,146.9","2,931.7",321.7,,,,,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.","2,535,878",,,,,,,,,,,,,,,,
"    (Includes Hernando, Hillsborough, Pasco, and Pinellas Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Tampa ,"320,908","5,733",41,222,"1,769","3,701","28,449","6,390","16,715","5,344",,,,,,,
            St. Petersburg,"253,095","4,054",22,106,"1,198","2,728","16,431","3,852","10,583","1,996",,,,,,,
            Clearwater,"110,296","1,162",4,53,253,852,"5,572","1,055","4,037",480,,,,,,,
            Largo,"71,943",342,4,30,60,248,"2,754",517,"2,051",186,,,,,,,
        Total area actually reporting,100.0%,"21,904",134,"1,217","5,136","15,417","124,471","28,062","81,575","14,834",,,,,,,
"        Rate per 100,000 inhabitants",,863.8,5.3,48.0,202.5,608.0,"4,908.4","1,106.6","3,216.8",585.0,,,,,,,
"Toledo, OH M.S.A.","660,354", ,,,,, ,,,,,,,,,,
"    (Includes Fulton, Lucas, Ottawa, and Wood Counties.)",,,,,,,,,,,,,,,,,
        City of Toledo,"309,499","3,182",21,152,"1,354","1,655","23,159","5,664","14,383","3,112",,,,,,,
        Total area actually reporting,93.5%,"3,512",22,194,"1,459","1,837","32,695","7,060","22,050","3,585",,,,,,,
        Estimated total,100.0%,"3,563",22,204,"1,477","1,860","33,698","7,281","22,760","3,657",,,,,,,
"        Rate per 100,000 inhabitants",,539.6,3.3,30.9,223.7,281.7,"5,103.0","1,102.6","3,446.6",553.8,,,,,,,
"Topeka, KS M.S.A.","226,430", ,,,,, ,,,,,,,,,,
"    (Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties.)",,,,,,,,,,,,,,,,,
        City of Topeka,"122,446",728,16,52,298,362,"9,208","1,518","7,183",507,,,,,,,
        Total area actually reporting,97.8%,975,18,77,310,570,"11,346","2,040","8,634",672,,,,,,,
        Estimated total,100.0%,991,18,79,313,581,"11,530","2,073","8,770",687,,,,,,,
"        Rate per 100,000 inhabitants",,437.7,7.9,34.9,138.2,256.6,"5,092.1",915.5,"3,873.2",303.4,,,,,,,
"Trenton-Ewing, NJ M.S.A.","361,476",,,,,,,,,,,,,,,,
    (Includes Mercer County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Trenton,"86,130","1,518",13,36,645,824,"4,677","1,073","2,514","1,090",,,,,,,
            Ewing Township,"36,355",120,0,14,55,51,"1,078",178,772,128,,,,,,,
        Total area actually reporting,100.0%,"1,942",16,64,843,"1,019","10,499","2,095","6,757","1,647",,,,,,,
"        Rate per 100,000 inhabitants",,537.2,4.4,17.7,233.2,281.9,"2,904.5",579.6,"1,869.3",455.6,,,,,,,
"Tucson, AZ M.S.A.","901,305", ,,,,, ,,,,,,,,,,
    (Includes Pima County.),,,,,,,,,,,,,,,,,
        City of Tucson,"514,618","4,709",47,330,"1,478","2,854","47,298","6,397","34,542","6,359",,,,,,,
        Total area actually reporting,100.0%,"5,759",75,419,"1,692","3,573","63,640","9,231","45,965","8,444",,,,,,,
"        Rate per 100,000 inhabitants",,639.0,8.3,46.5,187.7,396.4,"7,060.9","1,024.2","5,099.8",936.9,,,,,,,
"Tulsa, OK M.S.A.","882,386", ,,,,, ,,,,,,,,,,
"    (Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties.)",,,,,,,,,,,,,,,,,
        City of Tulsa,"393,907","4,304",61,272,891,"3,080","27,253","6,403","17,343","3,507",,,,,,,
        Total area actually reporting,100.0%,"5,592",76,387,"1,023","4,106","39,668","9,447","25,493","4,728",,,,,,,
"        Rate per 100,000 inhabitants",,633.7,8.6,43.9,115.9,465.3,"4,495.5","1,070.6","2,889.1",535.8,,,,,,,
"Tuscaloosa, AL M.S.A.","194,229", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Hale, and Tuscaloosa Counties.)",,,,,,,,,,,,,,,,,
        City of Tuscaloosa,"79,400",555,7,50,222,276,"5,063",999,"3,809",255,,,,,,,
        Total area actually reporting,98.6%,"1,021",9,77,268,667,"8,692","1,893","6,208",591,,,,,,,
        Estimated total,100.0%,"1,031",9,78,271,673,"8,810","1,916","6,295",599,,,,,,,
"        Rate per 100,000 inhabitants",,530.8,4.6,40.2,139.5,346.5,"4,535.9",986.5,"3,241.0",308.4,,,,,,,
"Tyler, TX M.S.A.","184,258", ,,,,, ,,,,,,,,,,
    (Includes Smith County.),,,,,,,,,,,,,,,,,
        City of Tyler,"88,383",717,8,40,147,522,"5,280",994,"4,019",267,,,,,,,
        Total area actually reporting,98.9%,"1,210",15,87,175,933,"7,749","1,758","5,523",468,,,,,,,
        Estimated total,100.0%,"1,217",15,88,177,937,"7,835","1,775","5,586",474,,,,,,,
"        Rate per 100,000 inhabitants",,660.5,8.1,47.8,96.1,508.5,"4,252.2",963.3,"3,031.6",257.2,,,,,,,
"Utica-Rome, NY M.S.A.","299,215",,,,,,,,,,,,,,,,
    (Includes Herkimer and Oneida Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Utica ,"60,049",409,7,43,186,173,"2,280",744,"1,392",144,,,,,,,
            Rome,"34,768",51,0,5,23,23,746,200,504,42,,,,,,,
        Total area actually reporting,96.7%,950,9,112,235,594,"6,907","1,705","4,893",309,,,,,,,
        Estimated total,100.0%,968,9,113,241,605,"7,113","1,735","5,055",323,,,,,,,
"        Rate per 100,000 inhabitants",,323.5,3.0,37.8,80.5,202.2,"2,377.2",579.9,"1,689.4",107.9,,,,,,,
"Valdosta, GA M.S.A.","121,843", ,,,,, ,,,,,,,,,,
"    (Includes Brooks, Echols, Lanier, and Lowndes Counties.)",,,,,,,,,,,,,,,,,
        City of Valdosta,"45,357",298,3,24,101,170,"3,238",600,"2,489",149,,,,,,,
        Total area actually reporting,100.0%,630,3,47,131,449,"5,212","1,040","3,917",255,,,,,,,
"        Rate per 100,000 inhabitants",,517.1,2.5,38.6,107.5,368.5,"4,277.6",853.6,"3,214.8",209.3,,,,,,,
"Vallejo-Fairfield, CA M.S.A.","415,385",,,,,,,,,,,,,,,,
    (Includes Solano County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Vallejo ,"121,055",997,6,42,339,610,"5,817","1,021","3,631","1,165",,,,,,,
            Fairfield ,"103,004",621,12,36,177,396,"4,752",660,"3,394",698,,,,,,,
        Total area actually reporting,100.0%,"2,226",20,133,644,"1,429","15,603","2,701","10,343","2,559",,,,,,,
"        Rate per 100,000 inhabitants",,535.9,4.8,32.0,155.0,344.0,"3,756.3",650.2,"2,490.0",616.1,,,,,,,
"Vero Beach, FL M.S.A.","120,167", ,,,,, ,,,,,,,,,,
    (Includes Indian River County.),,,,,,,,,,,,,,,,,
        City of Vero Beach,"17,660",93,1,5,32,55,734,130,572,32,,,,,,,
        Total area actually reporting,100.0%,451,5,63,79,304,"4,282",935,"3,127",220,,,,,,,
"        Rate per 100,000 inhabitants",,375.3,4.2,52.4,65.7,253.0,"3,563.4",778.1,"2,602.2",183.1,,,,,,,
"Victoria, TX M.S.A.","114,352", ,,,,, ,,,,,,,,,,
"    (Includes Calhoun, Goliad, and Victoria Counties.)",,,,,,,,,,,,,,,,,
        City of Victoria,"61,980",526,8,46,111,361,"4,345",850,"3,290",205,,,,,,,
        Total area actually reporting,100.0%,664,29,73,116,446,"5,681","1,207","4,193",281,,,,,,,
"        Rate per 100,000 inhabitants",,580.7,25.4,63.8,101.4,390.0,"4,968.0","1,055.5","3,666.7",245.7,,,,,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.","148,595",,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Vineland ,"56,655",416,4,16,169,227,"3,039",747,"2,127",165,,,,,,,
            Millville,"27,068",229,3,28,77,121,"1,480",382,"1,017",81,,,,,,,
            Bridgeton,"22,780",385,6,21,125,233,"1,032",320,613,99,,,,,,,
        Total area actually reporting,100.0%,"1,148",17,67,377,687,"6,327","1,695","4,167",465,,,,,,,
"        Rate per 100,000 inhabitants",,772.6,11.4,45.1,253.7,462.3,"4,257.9","1,140.7","2,804.3",312.9,,,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.1","1,633,403",,,,,,,,,,,,,,,,
"    (Includes Currituck County, NC and Gloucester, Isle of Wight, James City, Mathews, Surry, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, ",,,,,,,,,,,,,,,,,
"    and Williamsburg Cities, VA.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Virginia Beach, VA","439,454",928,24,119,408,377,"14,564","2,138","11,621",805,,,,,,,
"            Norfolk, VA","242,077","1,383",40,86,717,540,"13,854","1,784","10,632","1,438",,,,,,,
"            Newport News, VA1","182,565","1,253",27,94,389,743,,,"5,489",980,,,,,,,
"            Hampton, VA","147,777",599,10,56,246,287,"5,115",896,"3,659",560,,,,,,,
"            Portsmouth, VA","101,060",901,18,43,403,437,"5,002","1,179","3,323",500,,,,,,,
        Total area actually reporting,100.0%,"7,104",130,560,"2,646","3,768",,,"45,727","5,289",,,,,,,
"        Rate per 100,000 inhabitants",,434.9,8.0,34.3,162.0,230.7,,,"2,799.5",323.8,,,,,,,
"Visalia-Porterville, CA M.S.A.1","385,777",,,,,,,,,,,,,,,,
    (Includes Tulare County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Visalia ,"97,906",789,9,47,144,589,"5,857","1,080","3,971",806,,,,,,,
            Porterville,"41,742",237,1,12,54,170,"2,068",430,"1,272",366,,,,,,,
        Total area actually reporting,100.0%,"2,566",30,130,381,"2,025",,"4,041","10,999",,,,,,,,
"        Rate per 100,000 inhabitants",,665.2,7.8,33.7,98.8,524.9,,"1,047.5","2,851.1",,,,,,,,
"Waco, TX M.S.A.","221,098", ,,,,, ,,,,,,,,,,
    (Includes McLennan County.),,,,,,,,,,,,,,,,,
        City of Waco,"117,549",809,14,40,215,540,"8,773","2,176","5,990",607,,,,,,,
        Total area actually reporting,100.0%,"1,191",18,83,238,852,"12,392","3,085","8,490",817,,,,,,,
"        Rate per 100,000 inhabitants",,538.7,8.1,37.5,107.6,385.3,"5,604.8","1,395.3","3,839.9",369.5,,,,,,,
"Warner Robins, GA M.S.A.","118,465", ,,,,, ,,,,,,,,,,
    (Includes Houston County.),,,,,,,,,,,,,,,,,
        City of Warner Robins,"53,242",212,5,20,79,108,"3,471",724,"2,563",184,,,,,,,
        Total area actually reporting,100.0%,329,7,28,102,192,"5,544","1,110","4,124",310,,,,,,,
"        Rate per 100,000 inhabitants",,277.7,5.9,23.6,86.1,162.1,"4,679.9",937.0,"3,481.2",261.7,,,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.","5,067,631",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Bethesda-Frederick-Gaithersburg, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Washington, D.C. ","563,384","8,839",248,273,"3,836","4,482","31,581","4,670","17,362","9,549",,,,,,,
"            Alexandria, VA ","132,468",405,3,25,169,208,"4,292",429,"3,253",610,,,,,,,
"            Frederick, MD","56,585",568,4,21,91,452,"1,785",319,"1,369",97,,,,,,,
        Total area actually reporting,99.2%,"24,565",460,"1,094","10,627","12,384","169,696","23,057","109,939","36,700",,,,,,,
        Estimated total,100.0%,"24,683",461,"1,105","10,665","12,452","171,043","23,181","111,015","36,847",,,,,,,
"        Rate per 100,000 inhabitants",,487.1,9.1,21.8,210.5,245.7,"3,375.2",457.4,"2,190.7",727.1,,,,,,,
"    Bethesda-Frederick-Gaithersburg, MD M.D.","1,129,694",,,,,,,,,,,,,,,,
        (Includes Frederick and Montgomery Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"3,102",28,190,"1,194","1,690","30,391","5,038","21,437","3,916",,,,,,,
"            Rate per 100,000 inhabitants",,274.6,2.5,16.8,105.7,149.6,"2,690.2",446.0,"1,897.6",346.6,,,,,,,
"    Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.","3,937,937",,,,, ,,,,,,,,,,,
"        (Includes District of Columbia, Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Fairfax, Fauquier, Loudoun, Prince William, Spotsylvania, Stafford, and Warren Counties and Alexandria,  ",,,,,,,,,,,,,,,,,
"        Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.0%,"21,463",432,904,"9,433","10,694","139,305","18,019","88,502","32,784",,,,,,,
            Estimated total,100.0%,"21,581",433,915,"9,471","10,762","140,652","18,143","89,578","32,931",,,,,,,
"            Rate per 100,000 inhabitants",,548.0,11.0,23.2,240.5,273.3,"3,571.7",460.7,"2,274.7",836.3,,,,,,,
"Waterloo-Cedar Falls, IA M.S.A.","163,497",,,,,,,,,,,,,,,,
"    (Includes Black Hawk, Bremer, and Grundy Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Waterloo ,"67,910",326,4,47,93,182,"3,707",922,"2,543",242,,,,,,,
            Cedar Falls,"36,751",114,2,13,5,94,973,138,802,33,,,,,,,
        Total area actually reporting,100.0%,470,7,66,98,299,"5,304","1,183","3,826",295,,,,,,,
"        Rate per 100,000 inhabitants",,287.5,4.3,40.4,59.9,182.9,"3,244.1",723.6,"2,340.1",180.4,,,,,,,
"Wausau, WI M.S.A.","127,452", ,,,,, ,,,,,,,,,,
    (Includes Marathon County.),,,,,,,,,,,,,,,,,
        City of Wausau,"37,948",149,1,20,27,101,"1,703",344,"1,265",94,,,,,,,
        Total area actually reporting,100.0%,198,1,24,35,138,"3,006",697,"2,162",147,,,,,,,
"        Rate per 100,000 inhabitants",,155.4,0.8,18.8,27.5,108.3,"2,358.5",546.9,"1,696.3",115.3,,,,,,,
"Wenatchee, WA M.S.A.","101,493", ,,,,, ,,,,,,,,,,
    (Includes Chelan and Douglas Counties.),,,,,,,,,,,,,,,,,
        City of Wenatchee,"28,559",104,0,28,22,54,"1,809",365,"1,361",83,,,,,,,
        Total area actually reporting,100.0%,190,4,59,33,94,"4,155",831,"3,149",175,,,,,,,
"        Rate per 100,000 inhabitants",,187.2,3.9,58.1,32.5,92.6,"4,093.9",818.8,"3,102.7",172.4,,,,,,,
"Wichita, KS M.S.A.1","583,008", ,,,,, ,,,,,,,,,,
"    (Includes Butler, Harvey, Sedgwick, and Sumner Counties.)",,,,,,,,,,,,,,,,,
        City of Wichita1,"356,123","2,227",18,216,556,"1,437","19,518","3,825","14,284","1,409",,,,,,,
        Total area actually reporting,98.7%,"2,722",23,276,581,"1,842","25,447","4,980","18,780","1,687",,,,,,,
        Estimated total,100.0%,"2,746",23,278,586,"1,859","25,735","5,031","18,994","1,710",,,,,,,
"        Rate per 100,000 inhabitants",,471.0,3.9,47.7,100.5,318.9,"4,414.2",862.9,"3,257.9",293.3,,,,,,,
"Wichita Falls, TX M.S.A.","152,694", ,,,,, ,,,,,,,,,,
"    (Includes Archer, Clay, and Wichita Counties.)",,,,,,,,,,,,,,,,,
        City of Wichita Falls,"104,526","1,082",8,49,199,826,"7,507","1,719","5,208",580,,,,,,,
        Total area actually reporting,100.0%,"1,167",9,53,205,900,"8,535","2,063","5,816",656,,,,,,,
"        Rate per 100,000 inhabitants",,764.3,5.9,34.7,134.3,589.4,"5,589.6","1,351.1","3,808.9",429.6,,,,,,,
"Williamsport, PA M.S.A.","119,293", ,,,,, ,,,,,,,,,,
    (Includes Lycoming County.),,,,,,,,,,,,,,,,,
        City of Williamsport,"30,158",116,0,11,61,44,"1,418",298,"1,048",72,,,,,,,
        Total area actually reporting,93.8%,193,1,27,75,90,"2,650",581,"1,926",143,,,,,,,
        Estimated total,100.0%,209,1,28,79,101,"2,808",604,"2,049",155,,,,,,,
"        Rate per 100,000 inhabitants",,175.2,0.8,23.5,66.2,84.7,"2,353.9",506.3,"1,717.6",129.9,,,,,,,
"Wilmington, NC M.S.A.","290,018", ,,,,, ,,,,,,,,,,
"    (Includes Brunswick, New Hanover, and Pender Counties.)",,,,,,,,,,,,,,,,,
        City of Wilmington,"91,593",819,5,30,325,459,"7,356","1,855","4,900",601,,,,,,,
        Total area actually reporting,98.6%,"1,224",6,77,420,721,"15,247","4,956","9,281","1,010",,,,,,,
        Estimated total,100.0%,"1,240",6,78,425,731,"15,468","5,005","9,442","1,021",,,,,,,
"        Rate per 100,000 inhabitants",,427.6,2.1,26.9,146.5,252.1,"5,333.5","1,725.8","3,255.7",352.0,,,,,,,
"Winchester, VA-WV M.S.A.","109,442", ,,,,, ,,,,,,,,,,
"    (Includes Frederick County and Winchester City, VA and Hampshire County, WV.)",,,,,,,,,,,,,,,,,
"        City of Winchester, VA","24,536",73,0,9,30,34,"1,346",168,"1,125",53,,,,,,,
        Total area actually reporting,99.8%,202,3,20,48,131,"3,034",556,"2,310",168,,,,,,,
        Estimated total,100.0%,202,3,20,48,131,"3,039",557,"2,314",168,,,,,,,
"        Rate per 100,000 inhabitants",,184.6,2.7,18.3,43.9,119.7,"2,776.8",508.9,"2,114.4",153.5,,,,,,,
"Winston-Salem, NC M.S.A.","438,524", ,,,,, ,,,,,,,,,,
"    (Includes Davie, Forsyth, Stokes, and Yadkin Counties.)",,,,,,,,,,,,,,,,,
        City of Winston-Salem,"190,912","1,579",11,118,547,903,"13,938","3,957","8,810","1,171",,,,,,,
        Total area actually reporting,99.2%,"2,278",21,174,635,"1,448","22,248","6,200","14,466","1,582",,,,,,,
        Estimated total,100.0%,"2,293",21,175,640,"1,457","22,447","6,244","14,611","1,592",,,,,,,
"        Rate per 100,000 inhabitants",,522.9,4.8,39.9,145.9,332.3,"5,118.8","1,423.9","3,331.9",363.0,,,,,,,
"Worcester, MA M.S.A.","770,995", ,,,,, ,,,,,,,,,,
    (Includes Worcester County.),,,,,,,,,,,,,,,,,
        City of Worcester,"175,115","1,536",7,59,411,"1,059","7,637","1,548","4,637","1,452",,,,,,,
        Total area actually reporting,95.4%,"3,131",15,197,595,"2,324","16,447","3,941","10,340","2,166",,,,,,,
        Estimated total,100.0%,"3,241",15,204,614,"2,408","17,124","4,088","10,781","2,255",,,,,,,
"        Rate per 100,000 inhabitants",,420.4,1.9,26.5,79.6,312.3,"2,221.0",530.2,"1,398.3",292.5,,,,,,,
"Yakima, WA M.S.A.","227,136", ,,,,, ,,,,,,,,,,
    (Includes Yakima County.),,,,,,,,,,,,,,,,,
        City of Yakima,"74,052",430,5,55,141,229,"5,967","1,252","4,152",563,,,,,,,
        Total area actually reporting,99.2%,713,10,137,194,372,"13,730","3,418","8,947","1,365",,,,,,,
        Estimated total,100.0%,718,10,138,195,375,"13,823","3,433","9,012","1,378",,,,,,,
"        Rate per 100,000 inhabitants",,316.1,4.4,60.8,85.9,165.1,"6,085.8","1,511.4","3,967.7",606.7,,,,,,,
"Youngstown-Warren-Boardman, OH-PA M.S.A.","597,240",,,,,,,,,,,,,,,,
"    (Includes Mahoning and Trumbull Counties, OH and Mercer County, PA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Youngstown, OH","80,128",768,19,60,286,403,"4,833","1,763","2,568",502,,,,,,,
"            Warren, OH","47,285",368,6,32,153,177,"2,441",715,"1,444",282,,,,,,,
"            Boardman, OH","41,718",74,1,3,49,21,"2,351",319,"1,796",236,,,,,,,
