Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"        Rate per 100,000 inhabitants",,176.9,1.5,30.4,40.1,104.9,"3,212.0",502.1,"2,496.5",213.5,,,,,,,
"Oklahoma City, OK M.S.A.","1,136,530", ,,,,, ,,,,,,,,,,
"    (Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties.)",,,,,,,,,,,,,,,,,
        City of Oklahoma City,"525,094","4,321",39,374,"1,173","2,735","45,594","8,315","33,444","3,835",,,,,,,
        Total area actually reporting,100.0%,"5,952",56,569,"1,426","3,901","64,953","12,918","46,744","5,291",,,,,,,
"        Rate per 100,000 inhabitants",,523.7,4.9,50.1,125.5,343.2,"5,715.0","1,136.6","4,112.9",465.5,,,,,,,
"Olympia, WA M.S.A.","224,569", ,,,,, ,,,,,,,,,,
    (Includes Thurston County.),,,,,,,,,,,,,,,,,
        City of Olympia ,"44,482",148,6,35,26,81,"2,683",437,"2,050",196,,,,,,,
        Total area actually reporting,100.0%,592,8,84,92,408,"8,266","1,790","5,838",638,,,,,,,
"        Rate per 100,000 inhabitants",,263.6,3.6,37.4,41.0,181.7,"3,680.8",797.1,"2,599.6",284.1,,,,,,,
"Omaha-Council Bluffs, NE-IA M.S.A.","796,664",,,,,,,,,,,,,,,,
"    (Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Omaha, NE","406,109","2,608",20,187,824,"1,577","22,536","3,641","15,490","3,405",,,,,,,
"            Council Bluffs, IA ","58,863",567,2,88,68,409,"5,228","1,014","3,463",751,,,,,,,
        Total area actually reporting,97.3%,"3,626",27,346,927,"2,326","34,350","5,906","23,718","4,726",,,,,,,
        Estimated total,100.0%,"3,658",27,350,929,"2,352","34,723","5,987","23,982","4,754",,,,,,,
"        Rate per 100,000 inhabitants",,459.2,3.4,43.9,116.6,295.2,"4,358.6",751.5,"3,010.3",596.7,,,,,,,
"Orlando-Kissimmee, FL M.S.A.","1,843,041", ,,,,, ,,,,,,,,,,
"    (Includes Lake, Orange, Osceola, and Seminole Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Orlando,"203,764","3,562",17,174,962,"2,409","16,872","3,601","11,292","1,979",,,,,,,
            Kissimmee,"55,811",445,3,21,102,319,"2,706",615,"1,904",187,,,,,,,
        Total area actually reporting,100.0%,"13,908",93,805,"3,045","9,965","78,101","19,326","50,325","8,450",,,,,,,
"        Rate per 100,000 inhabitants",,754.6,5.0,43.7,165.2,540.7,"4,237.6","1,048.6","2,730.5",458.5,,,,,,,
"Oshkosh-Neenah, WI M.S.A.","159,564",,,,,,,,,,,,,,,,
    (Includes Winnebago County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Oshkosh,"63,661",146,0,10,19,117,"2,007",306,"1,642",59,,,,,,,
            Neenah,"24,794",26,1,7,4,14,485,95,372,18,,,,,,,
        Total area actually reporting,100.0%,233,1,27,29,176,"3,706",618,"2,958",130,,,,,,,
"        Rate per 100,000 inhabitants",,146.0,0.6,16.9,18.2,110.3,"2,322.6",387.3,"1,853.8",81.5,,,,,,,
"Owensboro, KY M.S.A.","111,601", ,,,,, ,,,,,,,,,,
"    (Includes Daviess, Hancock, and McLean Counties.)",,,,,,,,,,,,,,,,,
        City of Owensboro,"54,683",142,0,12,39,91,"2,356",484,"1,766",106,,,,,,,
        Total area actually reporting,99.3%,193,1,17,41,134,"2,921",693,"2,098",130,,,,,,,
        Estimated total,100.0%,195,1,17,42,135,"2,948",698,"2,118",132,,,,,,,
"        Rate per 100,000 inhabitants",,174.7,0.9,15.2,37.6,121.0,"2,641.6",625.4,"1,897.8",118.3,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.","800,256",,,,,,,,,,,,,,,,
    (Includes Ventura County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Oxnard,"182,959",772,18,24,370,360,"5,022",904,"3,079","1,039",,,,,,,
            Thousand Oaks,"125,625",165,0,16,36,113,"1,824",333,"1,304",187,,,,,,,
            Ventura,"105,341",259,3,18,94,144,"3,920",743,"2,758",419,,,,,,,
            Camarillo,"61,142",100,0,5,21,74,"1,130",279,743,108,,,,,,,
        Total area actually reporting,100.0%,"1,898",33,101,621,"1,143","17,526","3,641","11,496","2,389",,,,,,,
"        Rate per 100,000 inhabitants",,237.2,4.1,12.6,77.6,142.8,"2,190.0",455.0,"1,436.5",298.5,,,,,,,
"Palm Bay-Melbourne-Titusville, FL M.S.A.","516,946",,,,,,,,,,,,,,,,
    (Includes Brevard County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Palm Bay,"86,966",504,0,24,49,431,"2,337",726,"1,390",221,,,,,,,
            Melbourne,"76,201",588,7,23,151,407,"3,218",763,"2,240",215,,,,,,,
            Titusville,"42,680",402,2,23,81,296,"1,633",426,"1,018",189,,,,,,,
        Total area actually reporting,100.0%,"3,344",14,204,502,"2,624","15,374","4,261","9,935","1,178",,,,,,,
"        Rate per 100,000 inhabitants",,646.9,2.7,39.5,97.1,507.6,"2,974.0",824.3,"1,921.9",227.9,,,,,,,
"Panama City-Lynn Haven, FL M.S.A.","158,641",,,,,,,,,,,,,,,,
    (Includes Bay County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Panama City,"37,909",335,4,28,65,238,"2,329",446,"1,750",133,,,,,,,
            Lynn Haven,"14,554",24,0,0,5,19,429,62,269,98,,,,,,,
        Total area actually reporting,100.0%,"1,095",11,97,163,824,"7,642","1,632","5,493",517,,,,,,,
"        Rate per 100,000 inhabitants",,690.2,6.9,61.1,102.7,519.4,"4,817.2","1,028.7","3,462.5",325.9,,,,,,,
"Pascagoula, MS M.S.A.","155,497", ,,,,, ,,,,,,,,,,
    (Includes George and Jackson Counties.),,,,,,,,,,,,,,,,,
        City of Pascagoula,"26,060",116,5,25,64,22,"2,111",816,"1,154",141,,,,,,,
        Total area actually reporting,100.0%,452,15,70,115,252,"6,195","1,950","3,656",589,,,,,,,
"        Rate per 100,000 inhabitants",,290.7,9.6,45.0,74.0,162.1,"3,984.0","1,254.0","2,351.2",378.8,,,,,,,
"Pensacola-Ferry Pass-Brent, FL M.S.A.","438,508",,,,,,,,,,,,,,,,
    (Includes Escambia and Santa Rosa Counties.),,,,,,,,,,,,,,,,,
        City of Pensacola,"56,117",417,1,32,85,299,"2,518",615,"1,761",142,,,,,,,
        Total area actually reporting,100.0%,"2,471",24,180,402,"1,865","13,367","3,457","9,014",896,,,,,,,
"        Rate per 100,000 inhabitants",,563.5,5.5,41.0,91.7,425.3,"3,048.3",788.4,"2,055.6",204.3,,,,,,,
"Phoenix-Mesa-Scottsdale, AZ M.S.A.","3,698,377",,,,,,,,,,,,,,,,
    (Includes Maricopa and Pinal Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Phoenix,"1,428,973","9,465",202,490,"3,723","5,050","94,406","16,496","53,041","24,869",,,,,,,
            Mesa,"445,006","2,500",22,124,421,"1,933","23,364","3,682","15,937","3,745",,,,,,,
            Scottsdale,"224,357",468,4,63,132,269,"8,998","2,087","5,593","1,318",,,,,,,
            Tempe,"163,521",980,8,86,263,623,"13,042","1,793","8,838","2,411",,,,,,,
        Total area actually reporting,98.4%,"18,002",294,"1,122","5,516","11,070","199,578","38,114","118,508","42,956",,,,,,,
        Estimated total,100.0%,"18,237",296,"1,141","5,566","11,234","202,598","38,786","120,361","43,451",,,,,,,
"        Rate per 100,000 inhabitants",,493.1,8.0,30.9,150.5,303.8,"5,478.0","1,048.7","3,254.4","1,174.9",,,,,,,
"Pine Bluff, AR M.S.A.1","107,047", ,,,,, ,,,,,,,,,,
"    (Includes Cleveland, Jefferson, and Lincoln Counties.)",,,,,,,,,,,,,,,,,
        City of Pine Bluff ,"54,437",594,9,41,163,381,"4,827","1,515","2,908",404,,,,,,,
        Total area actually reporting,100.0%,724,14,47,173,490,"5,751","1,956","3,330",465,,,,,,,
"        Rate per 100,000 inhabitants",,676.3,13.1,43.9,161.6,457.7,"5,372.4","1,827.2","3,110.8",434.4,,,,,,,
"Pittsburgh, PA M.S.A.","2,418,291", ,,,,, ,,,,,,,,,,
"    (Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties.)",,,,,,,,,,,,,,,,,
        City of Pittsburgh ,"334,231","3,739",46,99,"1,602","1,992","15,278","3,045","9,841","2,392",,,,,,,
        Total area actually reporting,88.2%,"8,257",85,427,"2,762","4,983","51,256","9,463","36,733","5,060",,,,,,,
        Estimated total,100.0%,"8,917",90,470,"2,937","5,420","57,331","10,329","41,532","5,470",,,,,,,
"        Rate per 100,000 inhabitants",,368.7,3.7,19.4,121.4,224.1,"2,370.7",427.1,"1,717.4",226.2,,,,,,,
"Pocatello, ID M.S.A.","84,639", ,,,,, ,,,,,,,,,,
    (Includes Bannock and Power Counties.),,,,,,,,,,,,,,,,,
        City of Pocatello ,"52,014",148,1,15,14,118,"2,061",267,"1,695",99,,,,,,,
        Total area actually reporting,100.0%,238,1,24,16,197,"3,074",433,"2,495",146,,,,,,,
"        Rate per 100,000 inhabitants",,281.2,1.2,28.4,18.9,232.8,"3,631.9",511.6,"2,947.8",172.5,,,,,,,
"Portland-South Portland-Biddeford, ME M.S.A.1","509,862",,,,,,,,,,,,,,,,
"    (Includes Cumberland, Sagadahoc, and York Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Portland,"64,197",254,2,35,94,123,"3,011",523,"2,332",156,,,,,,,
            South Portland,"23,761",30,0,9,6,15,"1,090",90,959,41,,,,,,,
            Biddeford,"21,876",52,0,11,9,32,803,105,671,27,,,,,,,
        Total area actually reporting,100.0%,629,4,138,164,323,"11,909","2,160","9,190",559,,,,,,,
"        Rate per 100,000 inhabitants",,123.4,0.8,27.1,32.2,63.4,"2,335.7",423.6,"1,802.4",109.6,,,,,,,
"Portland-Vancouver-Beaverton, OR-WA M.S.A.","2,061,083",,,,,,,,,,,,,,,,
"    (Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Portland, OR","543,838","4,034",29,313,"1,287","2,405","41,495","7,237","28,322","5,936",,,,,,,
"            Vancouver, WA","153,443",642,9,113,149,371,"8,411","1,245","5,989","1,177",,,,,,,
"            Beaverton, OR","81,311",188,2,33,45,108,"2,985",408,"2,254",323,,,,,,,
"            Hillsboro, OR","78,473",165,2,40,65,58,"3,858",447,"3,051",360,,,,,,,
        Total area actually reporting,98.8%,"6,997",60,876,"2,045","4,016","99,645","16,581","70,243","12,821",,,,,,,
        Estimated total,100.0%,"7,039",60,883,"2,053","4,043","100,370","16,735","70,730","12,905",,,,,,,
"        Rate per 100,000 inhabitants",,341.5,2.9,42.8,99.6,196.2,"4,869.8",812.0,"3,431.7",626.1,,,,,,,
"Port St. Lucie-Fort Pierce, FL M.S.A.","356,313",,,,,,,,,,,,,,,,
    (Includes Martin and St. Lucie Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Port St. Lucie,"107,851",241,0,16,33,192,"2,728",749,"1,856",123,,,,,,,
            Fort Pierce,"38,682",697,6,52,177,462,"3,157",970,"1,912",275,,,,,,,
        Total area actually reporting,100.0%,"1,871",15,122,351,"1,383","11,737","3,130","7,787",820,,,,,,,
"        Rate per 100,000 inhabitants",,525.1,4.2,34.2,98.5,388.1,"3,294.0",878.4,"2,185.4",230.1,,,,,,,
"Poughkeepsie-Newburgh-Middletown, NY M.S.A.","655,298",,,,,,,,,,,,,,,,
    (Includes Dutchess and Orange Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Poughkeepsie,"30,232",357,2,23,131,201,"1,204",183,918,103,,,,,,,
            Newburgh,"28,467",362,3,14,88,257,"1,175",259,790,126,,,,,,,
            Middletown,"25,913",107,1,12,42,52,675,83,553,39,,,,,,,
        Total area actually reporting,94.3%,"1,644",16,121,384,"1,123","10,934","1,596","8,691",647,,,,,,,
        Estimated total,100.0%,"1,714",17,126,408,"1,163","11,698","1,702","9,304",692,,,,,,,
"        Rate per 100,000 inhabitants",,261.6,2.6,19.2,62.3,177.5,"1,785.1",259.7,"1,419.8",105.6,,,,,,,
"Prescott, AZ M.S.A.","189,821", ,,,,, ,,,,,,,,,,
    (Includes Yavapai County.),,,,,,,,,,,,,,,,,
        City of Prescott,"38,674",132,1,5,19,107,"1,878",348,"1,404",126,,,,,,,
        Total area actually reporting,99.8%,649,4,43,50,552,"6,291","1,434","4,403",454,,,,,,,
        Estimated total,100.0%,650,4,43,50,553,"6,309","1,438","4,414",457,,,,,,,
"        Rate per 100,000 inhabitants",,342.4,2.1,22.7,26.3,291.3,"3,323.7",757.6,"2,325.3",240.8,,,,,,,
"Providence-New Bedford-Fall River, RI-MA M.S.A.1","1,626,202",,,,,,,,,,,,,,,,
"    (Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Providence, RI","177,096","1,082",17,94,412,559,"10,400","1,688","6,412","2,300",,,,,,,
"            New Bedford, MA1","93,863",969,5,50,250,664,"3,207",892,"1,867",448,,,,,,,
"            Fall River, MA","92,516","1,113",1,81,229,802,"3,362","1,334","1,492",536,,,,,,,
"            Warwick, RI","87,727",112,0,20,23,69,"2,659",294,"2,161",204,,,,,,,
"            Cranston, RI","82,018",149,2,17,42,88,"2,200",354,"1,634",212,,,,,,,
        Total area actually reporting,100.0%,"5,813",37,511,"1,370","3,895","45,414","9,272","30,378","5,764",,,,,,,
"        Rate per 100,000 inhabitants",,357.5,2.3,31.4,84.2,239.5,"2,792.6",570.2,"1,868.0",354.4,,,,,,,
"Provo-Orem, UT M.S.A.","413,351",,,,,,,,,,,,,,,,
    (Includes Juab and Utah Counties.),, ,,,,, ,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Provo ,"107,094",150,0,40,17,93,"3,334",532,"2,620",182,,,,,,,
            Orem,"88,999",53,1,13,17,22,"3,895",452,"3,255",188,,,,,,,
        Total area actually reporting,99.1%,427,6,124,53,244,"15,028","2,516","11,766",746,,,,,,,
        Estimated total,100.0%,435,6,126,54,249,"15,157","2,537","11,863",757,,,,,,,
"        Rate per 100,000 inhabitants",,105.2,1.5,30.5,13.1,60.2,"3,666.9",613.8,"2,870.0",183.1,,,,,,,
"Pueblo, CO M.S.A.","150,409", ,,,,, ,,,,,,,,,,
    (Includes Pueblo County.),,,,,,,,,,,,,,,,,
        City of Pueblo ,"104,803",666,7,34,203,422,"5,775","1,298","4,038",439,,,,,,,
        Total area actually reporting,100.0%,713,8,37,212,456,"7,183","1,625","5,053",505,,,,,,,
"        Rate per 100,000 inhabitants",,474.0,5.3,24.6,140.9,303.2,"4,775.6","1,080.4","3,359.5",335.8,,,,,,,
"Punta Gorda, FL M.S.A.","156,800", ,,,,, ,,,,,,,,,,
    (Includes Charlotte County.),,,,,,,,,,,,,,,,,
        City of Punta Gorda ,"17,091",28,1,0,5,22,459,192,250,17,,,,,,,
        Total area actually reporting,100.0%,632,5,41,82,504,"4,657","1,267","3,118",272,,,,,,,
"        Rate per 100,000 inhabitants",,403.1,3.2,26.1,52.3,321.4,"2,970.0",808.0,"1,988.5",173.5,,,,,,,
"Racine, WI M.S.A.","193,575", ,,,,, ,,,,,,,,,,
    (Includes Racine County.),,,,,,,,,,,,,,,,,
        City of Racine,"80,805",346,5,18,228,95,"4,559","1,017","3,159",383,,,,,,,
        Total area actually reporting,100.0%,396,7,26,247,116,"6,926","1,337","5,099",490,,,,,,,
"        Rate per 100,000 inhabitants",,204.6,3.6,13.4,127.6,59.9,"3,577.9",690.7,"2,634.1",253.1,,,,,,,
"Raleigh-Cary, NC M.S.A.","898,584",,,,,,,,,,,,,,,,
"    (Includes Franklin, Johnston, and Wake Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Raleigh ,"321,850","1,867",16,99,661,"1,091","12,126","2,576","8,523","1,027",,,,,,,
            Cary,"101,415",94,1,15,30,48,"2,034",413,"1,520",101,,,,,,,
        Total area actually reporting,99.4%,"2,949",37,184,966,"1,762","26,523","6,386","18,112","2,025",,,,,,,
        Estimated total,100.0%,"2,970",37,186,972,"1,775","26,786","6,442","18,306","2,038",,,,,,,
"        Rate per 100,000 inhabitants",,330.5,4.1,20.7,108.2,197.5,"2,980.9",716.9,"2,037.2",226.8,,,,,,,
"Rapid City, SD M.S.A.","117,599", ,,,,, ,,,,,,,,,,
    (Includes Meade and Pennington Counties.),,,,,,,,,,,,,,,,,
        City of Rapid City ,"61,400",249,2,76,45,126,"2,665",485,"2,050",130,,,,,,,
        Total area actually reporting,100.0%,346,3,119,49,175,"3,657",770,"2,695",192,,,,,,,
"        Rate per 100,000 inhabitants",,294.2,2.6,101.2,41.7,148.8,"3,109.7",654.8,"2,291.7",163.3,,,,,,,
"Reading, PA M.S.A.","386,579", ,,,,, ,,,,,,,,,,
    (Includes Berks County.),,,,,,,,,,,,,,,,,
        City of Reading ,"80,570","1,116",14,36,401,665,"4,857","1,384","2,330","1,143",,,,,,,
        Total area actually reporting,94.7%,"1,550",19,72,477,982,"10,144","2,121","6,477","1,546",,,,,,,
        Estimated total,100.0%,"1,598",19,75,490,"1,014","10,582","2,183","6,823","1,576",,,,,,,
"        Rate per 100,000 inhabitants",,413.4,4.9,19.4,126.8,262.3,"2,737.3",564.7,"1,765.0",407.7,,,,,,,
"Redding, CA M.S.A.","177,676", ,,,,, ,,,,,,,,,,
    (Includes Shasta County.),,,,,,,,,,,,,,,,,
        City of Redding ,"88,589",470,2,71,79,318,"3,679",801,"2,491",387,,,,,,,
        Total area actually reporting,100.0%,909,4,114,92,699,"5,793","1,539","3,572",682,,,,,,,
"        Rate per 100,000 inhabitants",,511.6,2.3,64.2,51.8,393.4,"3,260.4",866.2,"2,010.4",383.8,,,,,,,
"Reno-Sparks, NV M.S.A.","390,002",,,,,,,,,,,,,,,,
    (Includes Storey and Washoe Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Reno,"201,981","1,480",9,112,464,895,"10,154","1,713","6,884","1,557",,,,,,,
            Sparks,"80,524",369,4,33,87,245,"3,660",773,"2,441",446,,,,,,,
        Total area actually reporting,100.0%,"2,050",15,161,569,"1,305","15,822","3,065","10,548","2,209",,,,,,,
"        Rate per 100,000 inhabitants",,525.6,3.8,41.3,145.9,334.6,"4,056.9",785.9,"2,704.6",566.4,,,,,,,
"Richmond, VA M.S.A.","1,149,560",,,,,,,,,,,,,,,,
"    (Includes Amelia, Caroline, Charles City, Chesterfield, Cumberland, Dinwiddie, Goochland, Hanover, Henrico, King and Queen, King William, Louisa, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities.)  ",,,,,,,,,,,,,,,,,
        City of Richmond ,"196,667","2,700",93,101,"1,343","1,163","13,089","2,731","7,982","2,376",,,,,,,
        Total area actually reporting,99.3%,"4,947",145,281,"2,113","2,408","41,303","7,261","29,481","4,561",,,,,,,
        Estimated total,100.0%,"4,963",145,283,"2,118","2,417","41,486","7,283","29,627","4,576",,,,,,,
"        Rate per 100,000 inhabitants",,431.7,12.6,24.6,184.2,210.3,"3,608.9",633.5,"2,577.2",398.1,,,,,,,
"Riverside-San Bernardino-Ontario, CA M.S.A.","3,684,346",,,,,,,,,,,,,,,,
    (Includes Riverside and San Bernardino Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Riverside ,"284,762","1,777",17,90,563,"1,107","12,497","2,372","7,608","2,517",,,,,,,
            San Bernardino,"197,611","2,635",50,96,959,"1,530","11,299","2,543","5,508","3,248",,,,,,,
            Ontario,"169,333",990,7,88,352,543,"7,091",980,"4,053","2,058",,,,,,,
            Temecula,"77,722",207,0,15,38,154,"2,423",525,"1,558",340,,,,,,,
            Victorville,"75,852",389,4,19,178,188,"4,082",778,"2,582",722,,,,,,,
            Chino,"72,758",256,0,11,109,136,"2,463",460,"1,570",433,,,,,,,
            Redlands,"68,642",294,3,19,97,175,"2,321",523,"1,367",431,,,,,,,
            Hemet,"65,794",388,4,26,140,218,"3,167",875,"1,850",442,,,,,,,
        Total area actually reporting,100.0%,"18,374",258,"1,018","5,611","11,487","136,661","31,520","76,026","29,115",,,,,,,
"        Rate per 100,000 inhabitants",,498.7,7.0,27.6,152.3,311.8,"3,709.2",855.5,"2,063.5",790.2,,,,,,,
"Roanoke, VA M.S.A.","293,388", ,,,,, ,,,,,,,,,,
"    (Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities.)",,,,,,,,,,,,,,,,,
        City of Roanoke,"93,787",851,8,60,187,596,"5,955",993,"4,470",492,,,,,,,
        Total area actually reporting,100.0%,"1,195",13,95,209,878,"9,214","1,460","7,003",751,,,,,,,
"        Rate per 100,000 inhabitants",,407.3,4.4,32.4,71.2,299.3,"3,140.6",497.6,"2,386.9",256.0,,,,,,,
"Rochester, MN M.S.A.","173,877", ,,,,, ,,,,,,,,,,
"    (Includes Dodge, Olmsted, and Wabasha Counties.)",,,,,,,,,,,,,,,,,
        City of Rochester ,"93,267",231,0,43,62,126,"2,631",385,"2,097",149,,,,,,,
        Total area actually reporting,94.9%,282,0,60,72,150,"3,539",587,"2,734",218,,,,,,,
        Estimated total,100.0%,296,0,63,75,158,"3,829",626,"2,966",237,,,,,,,
"        Rate per 100,000 inhabitants",,170.2,0.0,36.2,43.1,90.9,"2,202.1",360.0,"1,705.8",136.3,,,,,,,
"Rochester, NY M.S.A.","1,043,204", ,,,,, ,,,,,,,,,,
"    (Includes Livingston, Monroe, Ontario, Orleans, and Wayne Counties.)",,,,,,,,,,,,,,,,,
        City of Rochester ,"215,507","1,782",36,91,934,721,"15,458","2,721","9,551","3,186",,,,,,,
        Total area actually reporting,98.4%,"2,766",56,237,"1,153","1,320","34,473","5,740","24,445","4,288",,,,,,,
        Estimated total,100.0%,"2,797",56,239,"1,164","1,338","34,814","5,787","24,719","4,308",,,,,,,
"        Rate per 100,000 inhabitants",,268.1,5.4,22.9,111.6,128.3,"3,337.2",554.7,"2,369.5",413.0,,,,,,,
"Rocky Mount, NC M.S.A.","146,932", ,,,,, ,,,,,,,,,,
    (Includes Edgecombe and Nash Counties.),,,,,,,,,,,,,,,,,
        City of Rocky Mount ,"56,876",546,5,20,180,341,"4,833","1,414","3,184",235,,,,,,,
        Total area actually reporting,100.0%,737,11,34,229,463,"7,229","2,214","4,599",416,,,,,,,
