Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
"         Rate per 100,000 inhabitants",,"3,701.5", ,544.8,"3,156.7",5.9,28.2,249.9,260.8,663.2,"2,000.0",493.4,,,,,
"Tucson, AZ M.S.A.","897,329",,,,,,,,,,,,,,,,
    (Includes Pima County.),,,,, , , , , , , , ,,,,,
         City of Tucson,"517,607","50,171",,"4,709","45,462",47,338,"1,350","2,974","6,717","32,539","6,206",,,,,
         Total area actually reporting,100.0%,"67,685",,"5,668","62,017",73,437,"1,557","3,601","9,491","43,822","8,704",,,,,
"         Rate per 100,000 inhabitants",,"7,542.9",,631.7,"6,911.3",8.1,48.7,173.5,401.3,"1,057.7","4,883.6",970.0,,,,,
"Tulsa, OK M.S.A.","813,257",,,, ,,,,,,,,,,,,
"    (Includes Creek, Osage, Rogers, Tulsa, and Wagoner Counties.)",,,,,,,,,,,,,,,,,
         City of Tulsa,"397,953","30,119",,"4,323","25,796",26,243,901,"3,153","6,313","15,918","3,565",,,,,
         Total area actually reporting,100.0%,"41,749",,"5,458","36,291",41,362,"1,015","4,040","8,773","22,983","4,535",,,,,
"         Rate per 100,000 inhabitants",,"5,133.6",,671.1,"4,462.4",5.0,44.5,124.8,496.8,"1,078.7","2,826.0",557.6,,,,,
"Tuscaloosa, AL M.S.A.","166,336",,,,,,,,,,,,,,,,
    (Includes Tuscaloosa County.),,,,, , , , , , , , ,,,,,
         City of Tuscaloosa,"78,596","5,774",,469,"5,305",5,49,185,230,"1,012","4,036",257,,,,,
         Total area actually reporting,100.0%,"9,330",,874,"8,456",9,84,246,535,"1,867","6,012",577,,,,,
"         Rate per 100,000 inhabitants",,"5,609.1",,525.4,"5,083.7",5.4,50.5,147.9,321.6,"1,122.4","3,614.4",346.9,,,,,
"Tyler, TX M.S.A.","182,482",,,,,,,,,,,,,,,,
    (Includes Smith County.),,,,,,,,,,,,,,,,,
         City of Tyler,"87,373","6,614",,644,"5,970",4,58,140,442,"1,008","4,512",450,,,,,
         Total area actually reporting,98.9%,"9,062",,914,"8,148",8,127,179,600,"1,864","5,682",602,,,,,
         Estimated total,100.0%,"9,153",,921,"8,232",8,128,181,604,"1,880","5,744",608,,,,,
"         Rate per 100,000 inhabitants",,"5,015.8", ,504.7,"4,511.1",4.4,70.1,99.2,331.0,"1,030.2","3,147.7",333.2,,,,,
"Utica-Rome, NY M.S.A.","302,757",,,, ,,,,,,,,,,,,
    (Includes Herkimer and Oneida Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Utica ,"61,230","3,168",,365,"2,803",5,21,190,149,790,"1,866",147,,,,,
            Rome,"35,284",770,,63,707,1,8,28,26,200,472,35,,,,,
         Total area actually reporting,86.3%,"8,215",,917,"7,298",7,85,256,569,"1,748","5,276",274,,,,,
         Estimated total,100.0%,"9,048",,993,"8,055",8,91,275,619,"1,875","5,854",326,,,,,
"         Rate per 100,000 inhabitants",,"2,988.5", ,328.0,"2,660.5",2.6,30.1,90.8,204.5,619.3,"1,933.6",107.7,,,,,
"Vallejo-Fairfield-Napa, CA M.S.A.","537,881",,,,,,,,,,,,,,,,
    (Includes Napa and Solano Counties.),,,,, , , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Vallejo ,"121,049","7,117",,"1,082","6,035",7,45,326,704,"1,194","3,768","1,073",,,,,
            Fairfield ,"99,711","5,353",,578,"4,775",6,28,213,331,678,"3,426",671,,,,,
            Napa,"75,252","2,326",,258,"2,068",0,22,32,204,285,"1,587",196,,,,,
         Total area actually reporting,100.0%,"21,527",,"2,575","18,952",18,154,705,"1,698","3,321","12,836","2,795",,,,,
"         Rate per 100,000 inhabitants",,"4,002.2",,478.7,"3,523.5",3.3,28.6,131.1,315.7,617.4,"2,386.4",519.6, ,,,,
"Ventura, CA M.S.A.","780,869",,,,,,,,, ,,,,,,,
    (Includes Ventura County.),,,,, , , , ,,, , ,,,,,
         City of Ventura,"104,623","3,648",,286,"3,362",2,30,90,164,621,"2,478",263,,,,,
         Total area actually reporting,100.0%,"17,694",,"2,021","15,673",21,131,632,"1,237","3,267","10,854","1,552",,,,,
"         Rate per 100,000 inhabitants",,"2,265.9", ,258.8,"2,007.1",2.7,16.8,80.9,158.4,418.4,"1,390.0",198.8,,,,,
"Victoria, TX M.S.A.","87,831",,,,,,,,,,,,,,,,
    (Includes Victoria County.),,,,,,,,,,,,,,,,,
         City of Victoria,"63,300","3,890",,478,"3,412",9,44,108,317,645,"2,602",165,,,,,
         Total area actually reporting,100.0%,"4,583",,588,"3,995",15,59,115,399,825,"2,985",185,,,,,
"         Rate per 100,000 inhabitants",,"5,218.0", ,669.5,"4,548.5",17.1,67.2,130.9,454.3,939.3,"3,398.6",210.6,,,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.","149,500",,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Vineland ,"57,448","3,733",,453,"3,280",4,8,221,220,809,"2,265",206,,,,,
            Millville,"27,409","1,590",,180,"1,410",0,15,61,104,386,951,73,,,,,
            Bridgeton,"23,247","1,297",,304,993,3,12,103,186,268,643,82,,,,,
         Total area actually reporting,100.0%,"7,547",,"1,034","6,513",8,38,404,584,"1,761","4,305",447,,,,,
"         Rate per 100,000 inhabitants",,"5,048.2", ,691.6,"4,356.5",5.4,25.4,270.2,390.6,"1,177.9","2,879.6",299.0,,,,,
"Visalia-Tulare-Porterville, CA M.S.A.3","381,542",,,,,,,,,,,,,,,,
    (Includes Tulare County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,
            Visalia ,"94,929","6,309",,862,"5,447",12,46,130,674,"1,094","3,521",832,,,,,
            Tulare ,"45,611","3,022",,486,"2,536",2,20,57,407,"1,041","1,257",238,,,,,
            Porterville,"41,070","1,817",,175,"1,642",1,15,46,113,350,979,313,,,,,
         Total area actually reporting,100.0%,"18,592",,"2,512","16,080",29,145,350,"1,988","4,318","9,279","2,483",,,,,
"         Rate per 100,000 inhabitants",,"4,872.9",,658.4,"4,214.5",7.6,38.0,91.7,521.0,"1,131.7","2,432.0",650.8,,,,,
"Waco, TX M.S.A.","223,020",,,,,,,, ,,,,,,,,
    (Includes McLennan County.),,,,,,,,,,,,,,,,,
         City of Waco,"118,788","11,001",,945,"10,056",14,58,277,596,"2,197","7,143",716,,,,,
         Total area actually reporting,100.0%,"14,878",,"1,294","13,584",15,103,311,865,"3,044","9,664",876,,,,,
"         Rate per 100,000 inhabitants",,"6,671.2", ,580.2,"6,090.9",6.7,46.2,139.4,387.9,"1,364.9","4,333.2",392.8,,,,,
"Washington, D.C.-MD-VA-WV M.S.A.","5,050,449",,,,,,,, ,,,,,,,,
"    (Includes District of Columbia, Calvert, Charles, Frederick,",, ,,, , ,, , , , , ,,,,,
"    Montgomery, and Prince George's Counties, MD, Alexandria,",, ,,, , ,, , , , , ,,,,,
"    Fairfax City, Falls Church, Fredericksburg, Manassas, and",, ,,, , ,, , , , , ,,,,,
"    Manassas Park Cities, and Arlington, Clarke, Culpeper,",, ,,, , ,, , , , , ,,,,,
"    Fairfax, Fauquier, King George, Loudoun, Prince William, ",, ,,, , ,, , , , , ,,,,,
"    Spotsylvania, Stafford, and Warren Counties, VA,",, ,,, , ,, , , , , ,,,,,
"    and Berkeley and Jefferson Counties, WV.)",, ,,, , ,, , , , , ,,,,,
        City of:,,,,,,, ,,,,,,,,,,
"            Washington, D.C. ","570,898","44,349",,"9,111","35,238",264,262,"3,731","4,854","5,167","20,903","9,168",,,,,
"            Frederick, MD","54,378","2,710",,656,"2,054",3,24,125,504,321,"1,604",129,,,,,
"            Fredericksburg, VA","19,865",979,,143,836,0,7,47,89,70,680,86,,,,,
         Total area actually reporting,99.4%,"203,156",,"25,413","177,743",474,"1,146","10,217","13,576","25,162","118,381","34,200",,,,,
         Estimated total,100.0%,"204,399",,"25,531","178,868",475,"1,155","10,247","13,654","25,312","119,261","34,295",,,,,
"         Rate per 100,000 inhabitants",,"4,047.1", ,505.5,"3,541.6",9.4,22.9,202.9,270.4,501.2,"2,361.4",679.0,,,,,
"Waterbury, CT M.S.A.","192,142",,,,,,,,,,,,,,,,
    (Includes part of Litchfield and New Haven Counties.),,,,,,,,,,,,,,,,,
         City of Waterbury,"109,002","6,524",,583,"5,941",4,48,283,248,"1,246","3,926",769,,,,,
         Total area actually reporting,100.0%,"7,958",,641,"7,317",5,58,300,278,"1,475","4,991",851,,,,,
"         Rate per 100,000 inhabitants",,"4,141.7", ,333.6,"3,808.1",2.6,30.2,156.1,144.7,767.7,"2,597.6",442.9,,,,,
"Waterloo-Cedar Falls, IA M.S.A.","128,469",,,,, ,,,,,,,,,,,
    (Includes Black Hawk County.),,,,,, , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Waterloo ,"68,993","4,245",,326,"3,919",1,37,91,197,"1,064","2,604",251,,,,,
            Cedar Falls,"36,274","1,149",,111,"1,038",0,11,7,93,129,860,49,,,,,
         Total area actually reporting,100.0%,"6,124",,465,"5,659",1,64,100,300,"1,428","3,904",327,,,,,
"         Rate per 100,000 inhabitants",,"4,766.9", ,362.0,"4,405.0",0.8,49.8,77.8,233.5,"1,111.6","3,038.9",254.5,,,,,
"Wausau, WI M.S.A.","127,653",,,,,,,,,,,,,,,,
    (Includes Marathon County.),,,,,,,,,,,,,,,,,
         City of Wausau,"38,982","1,532",,89,"1,443",0,23,17,49,253,"1,106",84,,,,,
         Total area actually reporting,100.0%,"2,767",,141,"2,626",0,26,23,92,472,"2,036",118,,,,,
"         Rate per 100,000 inhabitants",,"2,167.6", ,110.5,"2,057.1",0.0,20.4,18.0,72.1,369.8,"1,594.9",92.4,,,,,
"West Palm Beach-Boca Raton, FL M.S.A.","1,182,905",,,,,,,,,,,,,,,,
    (Includes Palm Beach County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            West Palm Beach ,"85,857","10,603",,"1,190","9,413",7,56,497,630,"1,729","6,525","1,159",,,,,
            Boca Raton,"78,183","2,890",,205,"2,685",2,11,63,129,545,"1,927",213,,,,,
         Total area actually reporting,100.0%,"75,037",,"8,833","66,204",36,471,"2,513","5,813","15,095","43,302","7,807",,,,,
"         Rate per 100,000 inhabitants",,"6,343.5", ,746.7,"5,596.7",3.0,39.8,212.4,491.4,"1,276.1","3,660.6",660.0,,,,,
"Wichita, KS M.S.A.","550,790",,,,, ,, ,,, ,,,,,,
"    (Includes Butler, Harvey, and Sedgwick Counties.)",,,,, ,, ,, , ,, ,,,,,
         City of Wichita,"347,801","24,104", ,"2,368","21,736",20,208,796,"1,344","4,459","15,523","1,754",,,,,
         Total area actually reporting,97.1%,"29,490",,"2,845","26,645",26,272,844,"1,703","5,531","19,083","2,031",,,,,
         Estimated total,100.0%,"30,064",,"2,881","27,183",26,276,849,"1,730","5,609","19,499","2,075",,,,,
"         Rate per 100,000 inhabitants",,"5,458.3",,523.1,"4,935.3",4.7,50.1,154.1,314.1,"1,018.4","3,540.2",376.7,,,,,
"Wichita Falls, TX M.S.A.","146,772",,,,,,,,,,,,,,,,
    (Includes Archer and Wichita Counties.),,,,,,,,,,,,,,,,,
         City of Wichita Falls,"108,834","8,532",,998,"7,534",11,31,246,710,"1,726","5,327",481,,,,,
         Total area actually reporting,100.0%,"9,346",,"1,079","8,267",11,41,256,771,"1,953","5,764",550,,,,,
"         Rate per 100,000 inhabitants",,"6,367.7", ,735.2,"5,632.5",7.5,27.9,174.4,525.3,"1,330.6","3,927.2",374.7,,,,,
"Williamsport, PA M.S.A.","120,573",,,,,,,,,,,,,,,,
    (Includes Lycoming County.),,,,,,,,,,,,,,,,,
         City of Williamsport,"30,841","1,473",,128,"1,345",1,10,66,51,221,"1,061",63,,,,,
         Total area actually reporting,93.1%,"2,789",,207,"2,582",2,25,83,97,536,"1,915",131,,,,,
         Estimated total,100.0%,"2,985",,225,"2,760",2,26,88,109,562,"2,054",144,,,,,
"         Rate per 100,000 inhabitants",,"2,475.7",,186.6,"2,289.1",1.7,21.6,73.0,90.4,466.1,"1,703.5",119.4,,,,,
"Wilmington, NC M.S.A.","241,305",,,,, ,, ,,, ,,,,,,
    (Includes Brunswick and New Hanover Counties.),,,,, ,, ,, , ,, ,,,,,
         City of Wilmington,"78,389","8,811", ,998,"7,813",10,51,357,580,"1,851","5,215",747,,,,,
         Total area actually reporting,98.9%,"15,703",,"1,332","14,371",12,89,439,792,"4,290","8,978","1,103",,,,,
         Estimated total,100.0%,"15,863",,"1,343","14,520",12,90,442,799,"4,321","9,089","1,110",,,,,
"         Rate per 100,000 inhabitants",,"6,573.8",,556.6,"6,017.3",5.0,37.3,183.2,331.1,"1,790.7","3,766.6",460.0,,,,,
"Yakima, WA M.S.A.","229,185",,,,,,,,,,,,,,,,
    (Includes Yakima County.),,,,, ,,,,,,,,,,,,
         City of Yakima,"73,977","6,845", ,353,"6,492",4,59,106,184,"1,407","4,415",670,,,,,
         Total area actually reporting,100.0%,"14,319",,621,"13,698",10,121,175,315,"3,487","8,847","1,364",,,,,
"         Rate per 100,000 inhabitants",,"6,247.8",,271.0,"5,976.8",4.4,52.8,76.4,137.4,"1,521.5","3,860.2",595.2,,,,,
"Yolo, CA M.S.A.","174,856",,  ,,,,,,,,,,,,,,
    (Includes Yolo County.),,, ,,, , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Davis,"62,524","1,864", ,128,"1,736",0,16,31,81,331,"1,155",250,,,,,
            Woodland,"50,957","1,512",,209,"1,303",2,13,37,157,364,705,234,,,,,
         Total area actually reporting,100.0%,"6,853", ,838,"6,015",5,62,167,604,"1,452","3,543","1,020",,,,,
"         Rate per 100,000 inhabitants",,"3,919.2", ,479.3,"3,440.0",2.9,35.5,95.5,345.4,830.4,"2,026.2",583.3,,,,,
"Yuba City, CA M.S.A.","144,261",, ,,,,,,,,,,,,,,
    (Includes Sutter and Yuba Counties.),,,, ,,,,,,,,,,,,,
         City of Yuba City,"38,109","2,296", ,180,"2,116",4,26,33,117,409,"1,454",253,,,,,
         Total area actually reporting,100.0%,"6,357",,686,"5,671",7,65,94,520,"1,451","3,334",886,,,,,
"         Rate per 100,000 inhabitants",,"4,406.6",,475.5,"3,931.1",4.9,45.1,65.2,360.5,"1,005.8","2,311.1",614.2,,,,,
"Yuma, AZ M.S.A.3","170,189",, ,,,,,,,,,,,,,,
    (Includes Yuma County.),,,, ,,,,,,,,,,,,,
         City of Yuma3,"82,437",, ,,"3,186",2,32,42,,598,"2,199",389,,,,,
         Total area actually reporting,90.4%,, ,,"4,699",2,34,55,,"1,111","3,022",566,,,,,
         Estimated total,100.0%,,,,"5,629",3,38,69,,"1,305","3,614",710,,,,,
"         Rate per 100,000 inhabitants",,,,,"3,307.5",1.8,22.3,40.5,,766.8,"2,123.5",417.2,,,,,
"Aguadilla, Puerto Rico M.S.A.","149,166",,,, ,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,561",,286,"2,275",11,12,169,94,767,"1,403",105,,,,,
"         Rate per 100,000 inhabitants", ,"1,716.9",,191.7,"1,525.1",7.4,8.0,113.3,63.0,514.2,940.6,70.4,,,,,
"Arecibo, Puerto Rico M.S.A.","177,293",,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,402",,283,"3,119",6,1,186,90,"1,047","1,620",452,,,,,
"         Rate per 100,000 inhabitants",,"1,918.9",,159.6,"1,759.2",3.4,0.6,104.9,50.8,590.5,913.7,254.9,,,,,
"Caguas, Puerto Rico M.S.A.","313,101",, ,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,002",,"1,124","4,878",56,20,811,237,"1,977","1,862","1,039",,,,,
"         Rate per 100,000 inhabitants",,"1,917.0",,359.0,"1,558.0",17.9,6.4,259.0,75.7,631.4,594.7,331.8,,,,,
"Mayaguez, Puerto Rico M.S.A.","256,318",,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,973",,439,"4,534",14,16,266,143,"1,364","2,962",208,,,,,
"         Rate per 100,000 inhabitants",,"1,940.2", ,171.3,"1,768.9",5.5,6.2,103.8,55.8,532.2,"1,155.6",81.1,,,,,
"Ponce, Puerto Rico M.S.A.","364,849",,,,, ,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,867",,929,"5,938",83,25,525,296,"1,588","3,803",547,,,,,
"         Rate per 100,000 inhabitants",,"1,882.1",,254.6,"1,627.5",22.7,6.9,143.9,81.1,435.2,"1,042.3",149.9,,,,,
"San Juan-Bayamon, Puerto Rico M.S.A.","1,991,772",,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"55,813",,"8,936","46,877",528,133,"6,227","2,048","13,603","23,601","9,673",,,,,
"         Rate per 100,000 inhabitants",,"2,802.2",,448.6,"2,353.5",26.5,6.7,312.6,102.8,683.0,"1,184.9",485.6,,,,,
,,,,,,,,,,,,,,,,,
"1 Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.",,,,,,,,,,,,,, ,,,
"2 Violent crimes are offenses of murder, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, and motor vehicle theft.",,,,,,,,,,,,,,,,,
"3 Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,
"4 The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.",,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
