Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              New York,"8,023,018","263,764",,"68,274","195,490",649,"1,530","28,202","37,893","31,563","133,938","29,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              White Plains,"53,175","2,374",,214,"2,160",1,13,67,133,112,"1,915",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,"295,408",,"72,133","223,275",671,"1,654","29,588","40,220","35,455","155,078","32,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"296,226",,"72,201","224,025",672,"1,657","29,610","40,262","35,561","155,671","32,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,174.5",,773.7,"2,400.8",7.2,17.8,317.3,431.5,381.1,"1,668.3",351.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norfolk-Virginia Beach-Newport News, VA-NC M.S.A.","1,593,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, Gloucester, Isle of Wight, James City, Mathews, and York Counties, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    and Currituck County, NC.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Norfolk, VA","238,020","14,966",,"1,600","13,366",31,127,809,633,"1,728","10,123","1,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Virginia Beach, VA","431,819","16,135",,840,"15,295",12,110,368,350,"2,285","12,078",932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Newport News,VA","182,930","9,784",,"1,325","8,459",30,97,448,750,"1,508","5,788","1,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Hampton,VA","148,696","6,815",,604,"6,211",10,35,283,276,991,"4,129","1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Portsmouth, VA","102,117","6,650",,"1,099","5,551",12,30,473,584,"1,515","3,370",666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Suffolk, VA","64,660","2,510",,389,"2,121",5,31,106,247,370,"1,607",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,87.3%,"62,816",,"6,248","56,568",108,467,"2,571","3,102","9,229","41,550","5,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"72,282",,"6,929","65,353",110,529,"2,783","3,507","10,082","48,658","6,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,535.2",,434.8,"4,100.5",6.9,33.2,174.6,220.0,632.6,"3,053.0",414.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oakland, CA M.S.A.","2,437,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Alameda and Contra Costa Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Oakland,"406,908","27,627",,"5,330","22,297",84,295,"2,125","2,826","3,696","13,081","5,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Berkeley,"104,652","9,470",,742,"8,728",1,17,398,326,"1,453","6,054","1,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Alameda,"73,602","3,057",,366,"2,691",2,6,94,264,436,"1,927",328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"116,211", ,"13,812","102,399",157,697,"5,292","7,666","17,804","65,534","19,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,768.6", ,566.8,"4,201.8",6.4,28.6,217.2,314.6,730.6,"2,689.1",782.1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ocala, FL M.S.A.","265,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Marion County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ocala,"47,133","4,533",,694,"3,839",4,31,147,512,917,"2,670",252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"11,043",,"2,023","9,020",15,128,233,"1,647","2,504","5,923",593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,157.4",,761.6,"3,395.8",5.6,48.2,87.7,620.0,942.7,"2,229.8",223.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odessa-Midland, TX M.S.A.","242,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ector and Midland Counties.),,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, , , , , ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Odessa,"93,007","5,198",,512,"4,686",4,24,81,403,946,"3,544",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Midland,"97,152","3,183",,407,"2,776",2,91,50,264,690,"1,912",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,666", ,"1,117","9,549",9,120,140,848,"2,149","6,933",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,398.1",,460.6,"3,937.5",3.7,49.5,57.7,349.7,886.1,"2,858.8",192.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma City, OK M.S.A.","1,086,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Canadian, Cleveland, Logan, McClain, Oklahoma, and Pottawatomie Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Oklahoma City,"507,517","45,875",,"4,183","41,692",45,405,"1,090","2,643","8,405","29,771","3,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Norman,"95,956","3,425",,229,"3,196",2,34,42,151,886,"2,178",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Shawnee,"28,771","1,832",,164,"1,668",4,12,32,116,412,"1,121",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"66,076",,"5,954","60,122",64,587,"1,349","3,954","13,112","42,182","4,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,082.6",,548.1,"5,534.5",5.9,54.0,124.2,364.0,"1,207.0","3,883.1",444.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympia, WA M.S.A.","210,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Thurston County.),,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Olympia ,"43,191","3,159",,118,"3,041",0,24,35,59,498,"2,268",275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,961",,575,"8,386",6,94,100,375,"1,823","5,899",664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,253.8",,273.0,"3,980.9",2.8,44.6,47.5,178.0,865.4,"2,800.3",315.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omaha, NE-IA M.S.A.","717,627",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cass, Douglas, Sarpy, and Washington Counties, NE and Pottawatomie County, IA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Omaha, NE","390,456","29,507",,"2,708","26,799",25,157,868,"1,658","3,107","19,382","4,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Council Bluffs, IA ","58,205","5,810",,456,"5,354",2,61,80,313,690,"4,005",659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"40,908",,"3,416","37,492",29,252,969,"2,166","4,593","27,471","5,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,700.5",,476.0,"5,224.4",4.0,35.1,135.0,301.8,640.0,"3,828.0",756.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange County, CA M.S.A.","2,899,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Orange County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Santa Ana,"344,258","12,066",,"1,844","10,222",24,55,942,823,"1,396","6,263","2,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Anaheim,"334,110","11,225",,"1,316","9,909",8,91,484,733,"1,798","6,328","1,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Irvine,"145,731","3,396",,133,"3,263",0,9,44,80,904,"2,054",305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"79,916",,"8,566","71,350",63,441,"3,185","4,877","12,742","47,477","11,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,756.5", ,295.5,"2,461.0",2.2,15.2,109.9,168.2,439.5,"1,637.6",383.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlando, FL M.S.A.","1,687,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Lake, Orange, Osceola, and Seminole Counties.)",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Orlando,"190,769","22,363",,"3,685","18,678",15,135,"1,086","2,449","3,529","12,842","2,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"102,406",,"14,807","87,599",70,701,"3,366","10,670","20,317","57,643","9,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"102,478",,"14,815","87,663",70,701,"3,368","10,676","20,330","57,687","9,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,073.9",,878.1,"5,195.8",4.1,41.5,199.6,632.8,"1,205.0","3,419.1",571.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Owensboro, KY M.S.A.","92,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Daviess County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Owensboro,"54,385","2,706", ,129,"2,577",1,26,49,53,561,"1,924",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,267",,175,"3,092",1,29,52,93,717,"2,255",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,547.8", ,190.0,"3,357.8",1.1,31.5,56.5,101.0,778.6,"2,448.9",130.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panama City, FL M.S.A.","152,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bay County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Panama City,"37,361","2,503",,288,"2,215",2,33,93,160,424,"1,668",123, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,092",,"1,057","8,035",6,124,194,733,"1,514","6,160",361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,979.3", ,695.1,"5,284.2",3.9,81.5,127.6,482.1,995.7,"4,051.1",237.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pensacola, FL M.S.A.","422,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Escambia and Santa Rosa Counties.),,,,, , , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pensacola,"57,713","2,932",,519,"2,413",3,41,93,382,676,"1,625",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,152",,"2,645","14,507",19,199,572,"1,855","4,003","9,712",792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,056.4",,625.5,"3,430.9",4.5,47.1,135.3,438.7,946.7,"2,296.9",187.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, PA-NJ M.S.A.","5,113,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, PA and Burlington, Camden, Gloucester, and Salem Counties, NJ.)",,,,,,,,,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Philadelphia, PA","1,518,302","93,878",,"21,404","72,474",309,"1,014 ","9,604","10,477","11,629","45,318","15,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Camden, NJ","80,570","6,885",,"1,707","5,178",25,58 ,715,909,"1,374","2,542","1,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,96.3%,"186,528",,"31,155","155,373",407,"1,622 ","12,726","16,400","25,307","105,957","24,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"191,169",,"31,589","159,580",411,"1,651 ","12,840","16,687","25,899","109,232","24,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,738.7", ,617.8,"3,120.9",8.0,32.3,251.1,326.3,506.5,"2,136.2",478.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix-Mesa, AZ M.S.A.","3,363,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Maricopa and Pinal Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Phoenix,"1,366,542","104,975",,"10,532","94,443",209,400,"4,629","5,294","16,673","55,190","22,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Mesa,"410,026","27,508",,"2,516","24,992",17,106,452,"1,941","4,313","16,121","4,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tempe,"164,088","16,534",,937,"15,597",5,72,327,533,"2,273","10,497","2,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Scottsdale,"209,686","9,905",,619,"9,286",10,58,196,355,"2,660","5,251","1,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"216,003",,"19,045","196,958",298,894,"6,625","11,228","38,178","119,195","39,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"216,190",,"19,058","197,132",298,895,"6,628","11,237","38,216","119,307","39,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,426.8",,566.5,"5,860.3",8.9,26.6,197.0,334.0,"1,136.1","3,546.7","1,177.5", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh, PA M.S.A.","2,359,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Allegheny, Beaver, Butler, Fayette, Washington, and Westmoreland Counties.)",,,,, , , , , , , , ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pittsburgh ,"341,414","19,708",,"2,964","16,744",55,134,"1,384","1,391","3,246","10,766","2,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,81.9%,"54,650",,"7,013","47,637",93,471,"2,235","4,214","8,635","33,697","5,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"64,928",,"7,969","56,959",102,537,"2,476","4,854","9,918","41,015","6,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,751.3",,337.7,"2,413.7",4.3,22.8,104.9,205.7,420.3,"1,738.0",255.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsfield, MA M.S.A.","97,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Berkshire County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pittsfield ,"46,011","1,238",,77,"1,161",0,20,32,25,189,867,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.3%,"1,987",,212,"1,775",0,30,34,148,371,"1,241",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"2,085",,225,"1,860",0,31,36,158,388,"1,300",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,140.3",,231.0,"1,909.4",-,31.8,37.0,162.2,398.3,"1,334.5",176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pocatello, ID M.S.A.","77,145",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bannock County.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pocatello ,"52,542","1,787",,164,"1,623",0,21,8,135,266,"1,295",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,571",,253,"2,318",0,31,10,212,367,"1,869",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,332.7",,328.0,"3,004.7",-,40.2,13.0,274.8,475.7,"2,422.7",106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, ME M.S.A.","258,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Cumberland and York Counties.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Portland ,"64,841","3,016",,200,"2,816",1,39,68,92,473,"2,233",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,750",,387,"7,363",3,85,113,186,"1,399","5,630",334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,001.3",,149.9,"2,851.4",1.2,32.9,43.8,72.0,541.8,"2,180.3",129.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland-Vancouver, OR-WA M.S.A.","1,947,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark County, WA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Portland, OR","537,081","43,183",,"4,556","38,627",21,305,"1,267","2,963","5,592","28,358","4,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Vancouver, WA","145,846","7,962",,687,"7,275",4,76,132,475,"1,067","5,745",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"104,241",,"7,582","96,659",46,780,"2,027","4,729","14,874","71,887","9,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"104,315",,"7,586","96,729",46,781,"2,028","4,731","14,884","71,941","9,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,357.3", ,389.6,"4,967.7",2.4,40.1,104.2,243.0,764.4,"3,694.6",508.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portsmouth-Rochester, NH-ME M.S.A.","264,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Rockingham and Strafford Counties, NH and part of York County, ME.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Portsmouth, NH","21,177",813,,50,763,1,13,13,23,81,624,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Rochester, NH","29,000",877,,54,823,0,28,6,20,97,675,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,75.4%,"4,791",,315,"4,476",2,95,48,170,685,"3,478",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,827",,386,"5,441",2,114,59,211,864,"4,183",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,203.3", ,146.0,"2,057.4",0.8,43.1,22.3,79.8,326.7,"1,581.7",149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Providence-Fall River-Warwick, RI-MA M.S.A.","1,169,503",,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Kent, Newport, Providence, and Washington Counties, RI and part of Bristol County, MA.)",,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Providence, RI","175,374","14,185",,"1,443","12,742",23,111,595,714,"2,284","7,387","3,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Fall River, MA","92,375","3,891", ,636,"3,255",3,43,192,398,624,"2,090",541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Warwick, RI","86,676","3,050",,134,"2,916",2,24,33,75,447,"2,167",302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Pawtucket, RI","73,696","2,994",,295,"2,699",2,39,74,180,505,"1,744",450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Woonsocket, RI","43,661","1,482",,237,"1,245",1,60,46,130,338,784,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Attleboro, MA","42,268","1,145",,123,"1,022",0,9,28,86,178,712,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"43,089",,"4,111","38,978",41,458,"1,173","2,439","7,309","25,966","5,703", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,684.4", ,351.5,"3,332.9",3.5,39.2,100.3,208.6,625.0,"2,220.3",487.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
