Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Oakland,"373,215","25,060",,"5,038","20,022",80,320,"1,929","2,709","3,506","11,652","4,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Berkeley,"110,693","7,688",,754,"6,934",4,41,332,377,"1,124","4,889",921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Alameda,"77,210","2,835",,302,"2,533",1,9,110,182,362,"1,842",329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"104,424", ,"14,029","90,395",166,799,"4,680","8,384","16,166","58,256","15,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,350.6", ,584.5,"3,766.1",6.9,33.3,195.0,349.3,673.5,"2,427.1",665.5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ocala, FL M.S.A.","260,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Marion County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ocala,"50,689","5,244",,724,"4,520",3,28,175,518,"1,020","3,215",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"11,853",,"2,021","9,832",10,135,251,"1,625","2,757","6,479",596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,556.1",,776.8,"3,779.3",3.8,51.9,96.5,624.6,"1,059.8","2,490.4",229.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odessa-Midland, TX M.S.A.","251,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ector and Midland Counties.),,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, , , , , ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Odessa,"92,891","4,823",,500,"4,323",2,18,63,417,908,"3,244",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Midland,"102,254","3,301",,395,"2,906",5,69,54,267,683,"2,074",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,367", ,"1,068","9,299",9,105,145,809,"2,039","6,847",413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,113.9",,423.8,"3,690.1",3.6,41.7,57.5,321.0,809.1,"2,717.1",163.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma City, OK M.S.A.","1,075,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Canadian, Cleveland, Logan, McClain, Oklahoma, and Pottawatomie Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Oklahoma City,"488,431","47,845",,"3,951","43,894",38,388,990,"2,535","7,280","33,012","3,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Norman,"96,791","3,599",,209,"3,390",-,66,38,105,871,"2,371",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Shawnee,"28,751","1,722",,84,"1,638",1,4,22,57,331,"1,167",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"68,278",,"5,609","62,669",50,597,"1,253","3,709","11,583","46,144","4,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,351.3",,521.8,"5,829.5",4.7,55.5,116.6,345.0,"1,077.5","4,292.4",459.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympia, WA M.S.A.","210,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Thurston County.),,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Olympia ,"40,859","2,878",,148,"2,730",2,45,51,50,442,"2,081",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,507",,557,"7,950",2,117,106,332,"1,922","5,481",547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,043.7",,264.8,"3,778.9",1.0,55.6,50.4,157.8,913.6,"2,605.3",260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omaha, NE-IA M.S.A.4","717,211",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cass, Douglas, Sarpy, and Washington Counties, NE and Pottawatomie County, IA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Omaha, NE4","397,243","26,819",,"3,164","23,655",37,189,875,"2,063","3,373","16,902","3,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Council Bluffs, IA ","58,503","5,787",,491,"5,296",7,73,95,316,796,"3,895",605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"38,150",,"3,916","34,234",48,275,"1,010","2,583","4,881","24,973","4,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,319.2",,546.0,"4,773.2",6.7,38.3,140.8,360.1,680.6,"3,482.0",610.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange County, CA M.S.A.","2,821,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Orange County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Santa Ana,"316,070","10,452",,"1,829","8,623",17,86,889,837,"1,247","5,324","2,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Anaheim,"307,240","9,909",,"1,413","8,496",11,84,428,890,"1,570","5,374","1,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Irvine,"145,873","3,208",,221,"2,987",1,20,53,147,773,"1,925",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"74,308",,"8,600","65,708",56,499,"2,815","5,230","12,131","43,733","9,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,633.7", ,304.8,"2,328.9",2.0,17.7,99.8,185.4,430.0,"1,550.0",348.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlando, FL M.S.A.","1,623,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Lake, Orange, Osceola, and Seminole Counties.)",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Orlando,"190,702","22,369",,"3,926","18,443",21,141,"1,044","2,720","3,423","12,607","2,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"97,547",,"14,477","83,070",83,691,"3,079","10,624","18,706","55,220","9,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"97,683",,"14,493","83,190",83,692,"3,083","10,635","18,730","55,303","9,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,016.8",,892.7,"5,124.1",5.1,42.6,189.9,655.1,"1,153.7","3,406.4",564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panama City, FL M.S.A.","156,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bay County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Panama City,"42,167","2,433",,307,"2,126",2,30,75,200,458,"1,574",94, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,986",,914,"7,072",6,106,134,668,"1,478","5,264",330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,103.3", ,584.1,"4,519.2",3.8,67.7,85.6,426.9,944.5,"3,363.9",210.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, PA-NJ M.S.A.","5,079,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, PA and Burlington, Camden, Gloucester, and Salem Counties, NJ.)",,,,,,,,,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Philadelphia, PA","1,451,520","98,000",,"22,812","75,188",319,"1,021 ","10,425","11,047","12,089","46,952","16,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               Camden, NJ","85,142","6,504",,"1,667","4,837",24,69 ,670,904,"1,175","2,504","1,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.7%,"194,469",,"33,386","161,083",408,"1,625 ","13,665","17,688","25,575","110,607","24,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"196,007",,"33,531","162,476",409,"1,634 ","13,699","17,789","25,759","111,707","25,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,858.5", ,660.1,"3,198.4",8.1,32.2,269.7,350.2,507.1,"2,199.0",492.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix-Mesa, AZ M.S.A.","3,235,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Maricopa and Pinal Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Phoenix,"1,300,786","97,498",,"9,754","87,744",152,422,"3,763","5,417","15,860","52,418","19,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Mesa,"396,003","25,525",,"2,393","23,132",15,120,433,"1,825","3,720","15,982","3,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tempe,"180,107","15,208",,978,"14,230",13,80,297,588,"2,224","9,711","2,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Scottsdale,"214,685","9,303",,571,"8,732",8,53,115,395,"2,332","5,230","1,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"200,564",,"18,117","182,447",232,954,"5,484","11,447","35,889","113,894","32,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"200,794",,"18,133","182,661",232,955,"5,488","11,458","35,936","114,034","32,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,205.2",,560.4,"5,644.8",7.2,29.5,169.6,354.1,"1,110.5","3,524.0","1,010.3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pine Bluff, AR M.S.A.","84,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jefferson County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pine Bluff ,"54,748","6,302", ,"1,163","5,139",15,64,263,821,"1,636","3,170",333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,879",,"1,222","5,657",14,69,268,871,"1,765","3,514",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"8,126.5",,"1,443.6","6,682.9",16.5,81.5,316.6,"1,029.0","2,085.1","4,151.3",446.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh, PA M.S.A.","2,398,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Allegheny, Beaver, Butler, Fayette, Washington, and Westmoreland Counties.)",,,,, , , , , , , , ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pittsburgh ,"351,769","19,456",,"3,267","16,189",37,128,"1,585","1,517","3,153","10,533","2,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,90.8%,"57,073",,"7,430","49,643",77,438,"2,441","4,474","8,874","35,279","5,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"62,335",,"7,925","54,410",81,468,"2,557","4,819","9,505","39,043","5,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,598.5",,330.4,"2,268.1",3.4,19.5,106.6,200.9,396.2,"1,627.5",244.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsfield, MA M.S.A.","97,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Berkshire County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pittsfield ,"46,572","1,347",,139,"1,208",-,3,16,120,322,810,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.1%,"1,953",,227,"1,726",-,10,24,193,460,"1,157",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"2,057",,243,"1,814",-,11,26,206,475,"1,220",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,099.3",,248.0,"1,851.3",-,11.2,26.5,210.2,484.8,"1,245.1",121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pocatello, ID M.S.A.","77,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bannock County.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pocatello ,"54,563","1,845",,123,"1,722",1,6,12,104,248,"1,407",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,535",,211,"2,324",2,10,14,185,310,"1,915",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,274.8",,272.6,"3,002.2",2.6,12.9,18.1,239.0,400.5,"2,473.9",127.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, ME M.S.A.","250,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Cumberland and York Counties.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Portland ,"63,006","2,869",,210,"2,659",-,59,56,95,516,"2,120",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,481",,364,"7,117",2,99,88,175,"1,314","5,562",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,986.5",,145.3,"2,841.2",0.8,39.5,35.1,69.9,524.6,"2,220.4",96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland-Vancouver, OR-WA M.S.A.","1,905,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark County, WA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Portland, OR","519,621","40,943",,"5,698","35,245",19,369,"1,446","3,864","5,560","24,970","4,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Vancouver, WA","121,585","7,721",,593,"7,128",4,63,134,392,"1,061","5,449",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"96,021",,"8,608","87,413",40,792,"2,197","5,579","14,241","63,739","9,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"96,159",,"8,615","87,544",40,793,"2,199","5,583","14,261","63,839","9,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,047.1", ,452.2,"4,594.9",2.1,41.6,115.4,293.0,748.5,"3,350.7",495.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portsmouth-Rochester, NH-ME M.S.A.","275,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of York County, ME and Rockingham and Strafford Counties, NH.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Portsmouth, NH","26,542",857,,58,799,-,18,12,28,115,642,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Rochester, NH","29,056",925,,81,844,-,45,4,32,89,718,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.0%,"6,121",,422,"5,699",5,131,66,220,956,"4,409",334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,647",,455,"6,192",5,142,71,237,"1,041","4,775",376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,409.7", ,165.0,"2,244.8",1.8,51.5,25.7,85.9,377.4,"1,731.1",136.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Providence-Fall River-Warwick, RI-MA M.S.A.","1,005,499",,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Kent, Newport, Providence, and Washington Counties, RI and part of Bristol County, MA.)",,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Providence, RI","158,585","12,840",,"1,170","11,670",30,82,552,506,"2,289","6,617","2,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Fall River, MA","93,106","3,627", ,548,"3,079",-,39,149,360,782,"1,854",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Warwick, RI","88,867","2,787",,169,"2,618",-,12,31,126,388,"1,985",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Pawtucket, RI","71,589","2,943",,375,"2,568",-,45,91,239,514,"1,634",420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Woonsocket, RI","43,812","1,218",,154,"1,064",3,33,23,95,298,645,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Attleboro, MA","41,026","1,042",,110,932,3,9,23,75,155,687,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"35,051",,"3,056","31,995",43,377,904,"1,732","6,165","21,148","4,682", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"35,220",,"3,081","32,139",43,378,907,"1,753","6,190","21,250","4,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,502.7", ,306.4,"3,196.3",4.3,37.6,90.2,174.3,615.6,"2,113.4",467.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provo-Orem, UT M.S.A.","363,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Utah County.),,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Provo ,"116,060","3,917",,128,"3,789",-,45,26,57,667,"2,942",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Orem,"86,990","3,475",,54,"3,421",1,18,10,25,332,"2,919",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"12,382",,344,"12,038",2,98,54,190,"1,757","9,723",558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,403.2",,94.5,"3,308.7",0.5,26.9,14.8,52.2,482.9,"2,672.4",153.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pueblo, CO M.S.A.","145,266",,,, , ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pueblo County.),,,, ,,, , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Pueblo ,"110,128","5,194",,982,"4,212",6,83,116,777,806,"3,148",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,349",,"1,020","5,329",6,84,124,806,"1,035","4,014",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,370.6",,702.2,"3,668.4",4.1,57.8,85.4,554.8,712.5,"2,763.2",192.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Punta Gorda, FL M.S.A.","144,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Charlotte County.),,,,, ,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Punta Gorda ,"14,501",339,,35,304,-,1,8,26,51,232,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,297",,312,"2,985",3,11,44,254,755,"1,943",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,275.5",,215.3,"2,060.2",2.1,7.6,30.4,175.3,521.1,"1,341.0",198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Racine, WI M.S.A.","189,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Racine County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Racine,"82,647 ","5,611",,536,"5,075",4,15,256,261,"1,195","3,293",587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,056",,618,"7,438",6,25,285,302,"1,565","5,157",716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,244.8",,325.6,"3,919.2",3.2,13.2,150.2,159.1,824.6,"2,717.3",377.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raleigh-Durham-Chapel Hill, NC M.S.A.","1,162,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chatham, Durham, Franklin, Johnston, Orange, and Wake Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Raleigh ,"274,811","19,424",,"2,049","17,375",26,89,769,"1,165","4,033","11,904","1,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Durham,"188,547","16,397",,"1,846","14,551",28,87,929,802,"3,735","9,536","1,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Chapel Hill,"45,593","2,566", ,219,"2,347",2,14,74,129,529,"1,710",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"61,686",,"5,576","56,110",75,272,"2,190","3,039","14,085","37,851","4,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"62,634",,"5,645","56,989",76,276,"2,211","3,082","14,257","38,513","4,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,388.5", ,485.7,"4,902.9",6.5,23.7,190.2,265.2,"1,226.6","3,313.4",363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rapid City, SD M.S.A.","90,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pennington County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Rapid City ,"59,994","2,827",,219,"2,608",1,41,40,137,431,"2,031",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,358",,310,"4,048",1,95,42,172,565,"3,307",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,803.5", ,341.7,"4,461.8",1.1,104.7,46.3,189.6,622.8,"3,645.0",194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reading, PA M.S.A.","366,784",,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Berks County.),,, , , , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Reading ,"75,544","5,893",,897,"4,996",23,41,404,429,"1,360","3,016",620,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,88.8%,"11,440",,"1,386","10,054",33,77,495,781,"2,090","7,034",930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"12,425",,"1,479","10,946",34,83,517,845,"2,208","7,738","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,387.6",,403.2,"2,984.3",9.3,22.6,141.0,230.4,602.0,"2,109.7",272.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redding, CA M.S.A.","168,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Shasta County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Redding ,"81,490","3,040",,380,"2,660",2,83,53,242,570,"1,810",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,341",,825,"4,516",3,115,76,631,"1,079","2,980",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,176.6",,490.7,"2,685.9",1.8,68.4,45.2,375.3,641.7,"1,772.4",271.8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reno, NV M.S.A.","353,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Washoe County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Reno ,"184,059","9,965",,896,"9,069",9,104,381,402,"1,736","6,563",770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"15,335",,"1,401","13,934",12,172,471,746,"2,874","9,932","1,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,341.4",,396.6,"3,944.8",3.4,48.7,133.3,211.2,813.6,"2,811.8",319.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richland-Kennewick-Pasco, WA M.S.A.","189,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton and Franklin Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Richland ,"38,452","1,300",,63,"1,237",-,7,9,47,180,"1,026",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Kennewick,"51,941","3,008",,192,"2,816",1,26,38,127,433,"2,190",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Pasco,"28,444","1,610",,121,"1,489",3,12,33,73,282,"1,090",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
